gene_id	go_id	go_ontology	go_term
HIS92_RS00050	GO:0044423	CC	virion part
HIS92_RS00055	GO:0008080	MF	N-acetyltransferase activity
HIS92_RS00055	GO:0003674	MF	molecular_function
HIS92_RS00055	GO:0003824	MF	catalytic activity
HIS92_RS00055	GO:0016407	MF	acetyltransferase activity
HIS92_RS00055	GO:0016410	MF	N-acyltransferase activity
HIS92_RS00055	GO:0016740	MF	transferase activity
HIS92_RS00055	GO:0016746	MF	transferase activity, transferring acyl groups
HIS92_RS00055	GO:0016747	MF	transferase activity, transferring acyl groups other than amino-acyl groups
HIS92_RS00065	GO:0055114	BP	oxidation-reduction process
HIS92_RS00065	GO:0008152	BP	metabolic process
HIS92_RS00065	GO:0008150	BP	biological_process
HIS92_RS00065	GO:0051920	MF	peroxiredoxin activity
HIS92_RS00065	GO:0003674	MF	molecular_function
HIS92_RS00065	GO:0003824	MF	catalytic activity
HIS92_RS00065	GO:0016491	MF	oxidoreductase activity
HIS92_RS00065	GO:0016209	MF	antioxidant activity
HIS92_RS00065	GO:0016684	MF	oxidoreductase activity, acting on peroxide as acceptor
HIS92_RS00070	GO:0006814	BP	sodium ion transport
HIS92_RS00070	GO:0032328	BP	alanine transport
HIS92_RS00070	GO:0006810	BP	transport
HIS92_RS00070	GO:0006811	BP	ion transport
HIS92_RS00070	GO:0006812	BP	cation transport
HIS92_RS00070	GO:0030001	BP	metal ion transport
HIS92_RS00070	GO:0008150	BP	biological_process
HIS92_RS00070	GO:0015672	BP	monovalent inorganic cation transport
HIS92_RS00070	GO:0051179	BP	localization
HIS92_RS00070	GO:0051234	BP	establishment of localization
HIS92_RS00070	GO:0006820	BP	anion transport
HIS92_RS00070	GO:0006865	BP	amino acid transport
HIS92_RS00070	GO:0015711	BP	organic anion transport
HIS92_RS00070	GO:0015804	BP	neutral amino acid transport
HIS92_RS00070	GO:0015849	BP	organic acid transport
HIS92_RS00070	GO:0046942	BP	carboxylic acid transport
HIS92_RS00070	GO:0071702	BP	organic substance transport
HIS92_RS00070	GO:0071705	BP	nitrogen compound transport
HIS92_RS00070	GO:0016020	CC	membrane
HIS92_RS00070	GO:0005575	CC	cellular_component
HIS92_RS00070	GO:0015655	MF	alanine:sodium symporter activity
HIS92_RS00070	GO:0005283	MF	amino acid:sodium symporter activity
HIS92_RS00070	GO:0003674	MF	molecular_function
HIS92_RS00070	GO:0046873	MF	metal ion transmembrane transporter activity
HIS92_RS00070	GO:0005215	MF	transporter activity
HIS92_RS00070	GO:0015171	MF	amino acid transmembrane transporter activity
HIS92_RS00070	GO:0022857	MF	transmembrane transporter activity
HIS92_RS00070	GO:0005343	MF	organic acid:sodium symporter activity
HIS92_RS00070	GO:0005342	MF	organic acid transmembrane transporter activity
HIS92_RS00070	GO:0015291	MF	secondary active transmembrane transporter activity
HIS92_RS00070	GO:0005416	MF	amino acid:cation symporter activity
HIS92_RS00070	GO:0008324	MF	cation transmembrane transporter activity
HIS92_RS00070	GO:0008509	MF	anion transmembrane transporter activity
HIS92_RS00070	GO:0008514	MF	organic anion transmembrane transporter activity
HIS92_RS00070	GO:0015075	MF	ion transmembrane transporter activity
HIS92_RS00070	GO:0015077	MF	monovalent inorganic cation transmembrane transporter activity
HIS92_RS00070	GO:0015081	MF	sodium ion transmembrane transporter activity
HIS92_RS00070	GO:0015175	MF	neutral amino acid transmembrane transporter activity
HIS92_RS00070	GO:0015293	MF	symporter activity
HIS92_RS00070	GO:0015294	MF	solute:cation symporter activity
HIS92_RS00070	GO:0015318	MF	inorganic molecular entity transmembrane transporter activity
HIS92_RS00070	GO:0015370	MF	solute:sodium symporter activity
HIS92_RS00070	GO:0022804	MF	active transmembrane transporter activity
HIS92_RS00070	GO:0022858	MF	alanine transmembrane transporter activity
HIS92_RS00070	GO:0022890	MF	inorganic cation transmembrane transporter activity
HIS92_RS00070	GO:0046943	MF	carboxylic acid transmembrane transporter activity
HIS92_RS00075	GO:0008152	BP	metabolic process
HIS92_RS00075	GO:0055114	BP	oxidation-reduction process
HIS92_RS00075	GO:0008150	BP	biological_process
HIS92_RS00075	GO:0016491	MF	oxidoreductase activity
HIS92_RS00075	GO:0003674	MF	molecular_function
HIS92_RS00075	GO:0003824	MF	catalytic activity
HIS92_RS00080	GO:0008152	BP	metabolic process
HIS92_RS00080	GO:0008150	BP	biological_process
HIS92_RS00080	GO:0016829	MF	lyase activity
HIS92_RS00080	GO:0003674	MF	molecular_function
HIS92_RS00080	GO:0003824	MF	catalytic activity
HIS92_RS00095	GO:0055114	BP	oxidation-reduction process
HIS92_RS00095	GO:0008152	BP	metabolic process
HIS92_RS00095	GO:0008150	BP	biological_process
HIS92_RS00095	GO:0016491	MF	oxidoreductase activity
HIS92_RS00095	GO:0003674	MF	molecular_function
HIS92_RS00095	GO:0003824	MF	catalytic activity
HIS92_RS00100	GO:0006355	BP	regulation of transcription, DNA-templated
HIS92_RS00100	GO:0008152	BP	metabolic process
HIS92_RS00100	GO:0006139	BP	nucleobase-containing compound metabolic process
HIS92_RS00100	GO:0006351	BP	transcription, DNA-templated
HIS92_RS00100	GO:0006725	BP	cellular aromatic compound metabolic process
HIS92_RS00100	GO:0006807	BP	nitrogen compound metabolic process
HIS92_RS00100	GO:0008150	BP	biological_process
HIS92_RS00100	GO:0009058	BP	biosynthetic process
HIS92_RS00100	GO:0009059	BP	macromolecule biosynthetic process
HIS92_RS00100	GO:0009889	BP	regulation of biosynthetic process
HIS92_RS00100	GO:0009987	BP	cellular process
HIS92_RS00100	GO:0010467	BP	gene expression
HIS92_RS00100	GO:0010468	BP	regulation of gene expression
HIS92_RS00100	GO:0010556	BP	regulation of macromolecule biosynthetic process
HIS92_RS00100	GO:0016070	BP	RNA metabolic process
HIS92_RS00100	GO:0018130	BP	heterocycle biosynthetic process
HIS92_RS00100	GO:0019219	BP	regulation of nucleobase-containing compound metabolic process
HIS92_RS00100	GO:0019222	BP	regulation of metabolic process
HIS92_RS00100	GO:0019438	BP	aromatic compound biosynthetic process
HIS92_RS00100	GO:0031323	BP	regulation of cellular metabolic process
HIS92_RS00100	GO:0031326	BP	regulation of cellular biosynthetic process
HIS92_RS00100	GO:0032774	BP	RNA biosynthetic process
HIS92_RS00100	GO:0034641	BP	cellular nitrogen compound metabolic process
HIS92_RS00100	GO:0034645	BP	cellular macromolecule biosynthetic process
HIS92_RS00100	GO:0034654	BP	nucleobase-containing compound biosynthetic process
HIS92_RS00100	GO:0043170	BP	macromolecule metabolic process
HIS92_RS00100	GO:0044237	BP	cellular metabolic process
HIS92_RS00100	GO:0044238	BP	primary metabolic process
HIS92_RS00100	GO:0044249	BP	cellular biosynthetic process
HIS92_RS00100	GO:0044260	BP	cellular macromolecule metabolic process
HIS92_RS00100	GO:0044271	BP	cellular nitrogen compound biosynthetic process
HIS92_RS00100	GO:0046483	BP	heterocycle metabolic process
HIS92_RS00100	GO:0050789	BP	regulation of biological process
HIS92_RS00100	GO:0050794	BP	regulation of cellular process
HIS92_RS00100	GO:0051171	BP	regulation of nitrogen compound metabolic process
HIS92_RS00100	GO:0051252	BP	regulation of RNA metabolic process
HIS92_RS00100	GO:0060255	BP	regulation of macromolecule metabolic process
HIS92_RS00100	GO:0065007	BP	biological regulation
HIS92_RS00100	GO:0071704	BP	organic substance metabolic process
HIS92_RS00100	GO:0080090	BP	regulation of primary metabolic process
HIS92_RS00100	GO:0090304	BP	nucleic acid metabolic process
HIS92_RS00100	GO:0097659	BP	nucleic acid-templated transcription
HIS92_RS00100	GO:1901360	BP	organic cyclic compound metabolic process
HIS92_RS00100	GO:1901362	BP	organic cyclic compound biosynthetic process
HIS92_RS00100	GO:1901576	BP	organic substance biosynthetic process
HIS92_RS00100	GO:1903506	BP	regulation of nucleic acid-templated transcription
HIS92_RS00100	GO:2000112	BP	regulation of cellular macromolecule biosynthetic process
HIS92_RS00100	GO:2001141	BP	regulation of RNA biosynthetic process
HIS92_RS00100	GO:0005524	MF	ATP binding
HIS92_RS00100	GO:0008134	MF	transcription factor binding
HIS92_RS00100	GO:0043565	MF	sequence-specific DNA binding
HIS92_RS00100	GO:0003677	MF	DNA binding
HIS92_RS00100	GO:0000166	MF	nucleotide binding
HIS92_RS00100	GO:0003674	MF	molecular_function
HIS92_RS00100	GO:0005488	MF	binding
HIS92_RS00100	GO:0008144	MF	drug binding
HIS92_RS00100	GO:0017076	MF	purine nucleotide binding
HIS92_RS00100	GO:0030554	MF	adenyl nucleotide binding
HIS92_RS00100	GO:0032553	MF	ribonucleotide binding
HIS92_RS00100	GO:0032555	MF	purine ribonucleotide binding
HIS92_RS00100	GO:0032559	MF	adenyl ribonucleotide binding
HIS92_RS00100	GO:0035639	MF	purine ribonucleoside triphosphate binding
HIS92_RS00100	GO:0036094	MF	small molecule binding
HIS92_RS00100	GO:0043167	MF	ion binding
HIS92_RS00100	GO:0043168	MF	anion binding
HIS92_RS00100	GO:0097159	MF	organic cyclic compound binding
HIS92_RS00100	GO:0097367	MF	carbohydrate derivative binding
HIS92_RS00100	GO:1901265	MF	nucleoside phosphate binding
HIS92_RS00100	GO:1901363	MF	heterocyclic compound binding
HIS92_RS00100	GO:0005515	MF	protein binding
HIS92_RS00100	GO:0003676	MF	nucleic acid binding
HIS92_RS00110	GO:0009055	MF	electron transfer activity
HIS92_RS00110	GO:0051536	MF	iron-sulfur cluster binding
HIS92_RS00110	GO:0003674	MF	molecular_function
HIS92_RS00110	GO:0003824	MF	catalytic activity
HIS92_RS00110	GO:0016491	MF	oxidoreductase activity
HIS92_RS00110	GO:0005488	MF	binding
HIS92_RS00110	GO:0048037	MF	cofactor binding
HIS92_RS00110	GO:0051540	MF	metal cluster binding
HIS92_RS00115	GO:0055114	BP	oxidation-reduction process
HIS92_RS00115	GO:0008152	BP	metabolic process
HIS92_RS00115	GO:0008150	BP	biological_process
HIS92_RS00115	GO:0016491	MF	oxidoreductase activity
HIS92_RS00115	GO:0003674	MF	molecular_function
HIS92_RS00115	GO:0003824	MF	catalytic activity
HIS92_RS00175	GO:0007049	BP	cell cycle
HIS92_RS00175	GO:0008150	BP	biological_process
HIS92_RS00175	GO:0009987	BP	cellular process
HIS92_RS00215	GO:0016787	MF	hydrolase activity
HIS92_RS00215	GO:0008239	MF	dipeptidyl-peptidase activity
HIS92_RS00215	GO:0003674	MF	molecular_function
HIS92_RS00215	GO:0003824	MF	catalytic activity
HIS92_RS00215	GO:0004177	MF	aminopeptidase activity
HIS92_RS00215	GO:0008233	MF	peptidase activity
HIS92_RS00215	GO:0008238	MF	exopeptidase activity
HIS92_RS00215	GO:0070011	MF	peptidase activity, acting on L-amino acid peptides
HIS92_RS00215	GO:0140096	MF	catalytic activity, acting on a protein
HIS92_RS00225	GO:0007165	BP	signal transduction
HIS92_RS00225	GO:0007154	BP	cell communication
HIS92_RS00225	GO:0008150	BP	biological_process
HIS92_RS00225	GO:0009987	BP	cellular process
HIS92_RS00225	GO:0023052	BP	signaling
HIS92_RS00225	GO:0050789	BP	regulation of biological process
HIS92_RS00225	GO:0050794	BP	regulation of cellular process
HIS92_RS00225	GO:0050896	BP	response to stimulus
HIS92_RS00225	GO:0051716	BP	cellular response to stimulus
HIS92_RS00225	GO:0065007	BP	biological regulation
HIS92_RS00225	GO:0016021	CC	integral component of membrane
HIS92_RS00225	GO:0005575	CC	cellular_component
HIS92_RS00225	GO:0016020	CC	membrane
HIS92_RS00225	GO:0031224	CC	intrinsic component of membrane
HIS92_RS00225	GO:0044425	CC	membrane part
HIS92_RS00225	GO:0000155	MF	phosphorelay sensor kinase activity
HIS92_RS00225	GO:0003674	MF	molecular_function
HIS92_RS00225	GO:0003824	MF	catalytic activity
HIS92_RS00225	GO:0004672	MF	protein kinase activity
HIS92_RS00225	GO:0004673	MF	protein histidine kinase activity
HIS92_RS00225	GO:0016301	MF	kinase activity
HIS92_RS00225	GO:0016740	MF	transferase activity
HIS92_RS00225	GO:0016772	MF	transferase activity, transferring phosphorus-containing groups
HIS92_RS00225	GO:0016773	MF	phosphotransferase activity, alcohol group as acceptor
HIS92_RS00225	GO:0016775	MF	phosphotransferase activity, nitrogenous group as acceptor
HIS92_RS00225	GO:0140096	MF	catalytic activity, acting on a protein
HIS92_RS00230	GO:0000160	BP	phosphorelay signal transduction system
HIS92_RS00230	GO:0006355	BP	regulation of transcription, DNA-templated
HIS92_RS00230	GO:0007165	BP	signal transduction
HIS92_RS00230	GO:0035556	BP	intracellular signal transduction
HIS92_RS00230	GO:0007154	BP	cell communication
HIS92_RS00230	GO:0008150	BP	biological_process
HIS92_RS00230	GO:0009987	BP	cellular process
HIS92_RS00230	GO:0023052	BP	signaling
HIS92_RS00230	GO:0050789	BP	regulation of biological process
HIS92_RS00230	GO:0050794	BP	regulation of cellular process
HIS92_RS00230	GO:0050896	BP	response to stimulus
HIS92_RS00230	GO:0051716	BP	cellular response to stimulus
HIS92_RS00230	GO:0065007	BP	biological regulation
HIS92_RS00230	GO:0008152	BP	metabolic process
HIS92_RS00230	GO:0006139	BP	nucleobase-containing compound metabolic process
HIS92_RS00230	GO:0006351	BP	transcription, DNA-templated
HIS92_RS00230	GO:0006725	BP	cellular aromatic compound metabolic process
HIS92_RS00230	GO:0006807	BP	nitrogen compound metabolic process
HIS92_RS00230	GO:0009058	BP	biosynthetic process
HIS92_RS00230	GO:0009059	BP	macromolecule biosynthetic process
HIS92_RS00230	GO:0009889	BP	regulation of biosynthetic process
HIS92_RS00230	GO:0010467	BP	gene expression
HIS92_RS00230	GO:0010468	BP	regulation of gene expression
HIS92_RS00230	GO:0010556	BP	regulation of macromolecule biosynthetic process
HIS92_RS00230	GO:0016070	BP	RNA metabolic process
HIS92_RS00230	GO:0018130	BP	heterocycle biosynthetic process
HIS92_RS00230	GO:0019219	BP	regulation of nucleobase-containing compound metabolic process
HIS92_RS00230	GO:0019222	BP	regulation of metabolic process
HIS92_RS00230	GO:0019438	BP	aromatic compound biosynthetic process
HIS92_RS00230	GO:0031323	BP	regulation of cellular metabolic process
HIS92_RS00230	GO:0031326	BP	regulation of cellular biosynthetic process
HIS92_RS00230	GO:0032774	BP	RNA biosynthetic process
HIS92_RS00230	GO:0034641	BP	cellular nitrogen compound metabolic process
HIS92_RS00230	GO:0034645	BP	cellular macromolecule biosynthetic process
HIS92_RS00230	GO:0034654	BP	nucleobase-containing compound biosynthetic process
HIS92_RS00230	GO:0043170	BP	macromolecule metabolic process
HIS92_RS00230	GO:0044237	BP	cellular metabolic process
HIS92_RS00230	GO:0044238	BP	primary metabolic process
HIS92_RS00230	GO:0044249	BP	cellular biosynthetic process
HIS92_RS00230	GO:0044260	BP	cellular macromolecule metabolic process
HIS92_RS00230	GO:0044271	BP	cellular nitrogen compound biosynthetic process
HIS92_RS00230	GO:0046483	BP	heterocycle metabolic process
HIS92_RS00230	GO:0051171	BP	regulation of nitrogen compound metabolic process
HIS92_RS00230	GO:0051252	BP	regulation of RNA metabolic process
HIS92_RS00230	GO:0060255	BP	regulation of macromolecule metabolic process
HIS92_RS00230	GO:0071704	BP	organic substance metabolic process
HIS92_RS00230	GO:0080090	BP	regulation of primary metabolic process
HIS92_RS00230	GO:0090304	BP	nucleic acid metabolic process
HIS92_RS00230	GO:0097659	BP	nucleic acid-templated transcription
HIS92_RS00230	GO:1901360	BP	organic cyclic compound metabolic process
HIS92_RS00230	GO:1901362	BP	organic cyclic compound biosynthetic process
HIS92_RS00230	GO:1901576	BP	organic substance biosynthetic process
HIS92_RS00230	GO:1903506	BP	regulation of nucleic acid-templated transcription
HIS92_RS00230	GO:2000112	BP	regulation of cellular macromolecule biosynthetic process
HIS92_RS00230	GO:2001141	BP	regulation of RNA biosynthetic process
HIS92_RS00230	GO:0003677	MF	DNA binding
HIS92_RS00230	GO:0003674	MF	molecular_function
HIS92_RS00230	GO:0003676	MF	nucleic acid binding
HIS92_RS00230	GO:0005488	MF	binding
HIS92_RS00230	GO:0097159	MF	organic cyclic compound binding
HIS92_RS00230	GO:1901363	MF	heterocyclic compound binding
HIS92_RS00240	GO:0008080	MF	N-acetyltransferase activity
HIS92_RS00240	GO:0003674	MF	molecular_function
HIS92_RS00240	GO:0003824	MF	catalytic activity
HIS92_RS00240	GO:0016407	MF	acetyltransferase activity
HIS92_RS00240	GO:0016410	MF	N-acyltransferase activity
HIS92_RS00240	GO:0016740	MF	transferase activity
HIS92_RS00240	GO:0016746	MF	transferase activity, transferring acyl groups
HIS92_RS00240	GO:0016747	MF	transferase activity, transferring acyl groups other than amino-acyl groups
HIS92_RS00245	GO:0009116	BP	nucleoside metabolic process
HIS92_RS00245	GO:0008152	BP	metabolic process
HIS92_RS00245	GO:0006139	BP	nucleobase-containing compound metabolic process
HIS92_RS00245	GO:0006725	BP	cellular aromatic compound metabolic process
HIS92_RS00245	GO:0006807	BP	nitrogen compound metabolic process
HIS92_RS00245	GO:0008150	BP	biological_process
HIS92_RS00245	GO:0009987	BP	cellular process
HIS92_RS00245	GO:0034641	BP	cellular nitrogen compound metabolic process
HIS92_RS00245	GO:0044237	BP	cellular metabolic process
HIS92_RS00245	GO:0044238	BP	primary metabolic process
HIS92_RS00245	GO:0044281	BP	small molecule metabolic process
HIS92_RS00245	GO:0046483	BP	heterocycle metabolic process
HIS92_RS00245	GO:0055086	BP	nucleobase-containing small molecule metabolic process
HIS92_RS00245	GO:0071704	BP	organic substance metabolic process
HIS92_RS00245	GO:1901135	BP	carbohydrate derivative metabolic process
HIS92_RS00245	GO:1901360	BP	organic cyclic compound metabolic process
HIS92_RS00245	GO:1901564	BP	organonitrogen compound metabolic process
HIS92_RS00245	GO:1901657	BP	glycosyl compound metabolic process
HIS92_RS00245	GO:0003824	MF	catalytic activity
HIS92_RS00245	GO:0003674	MF	molecular_function
HIS92_RS00250	GO:0009058	BP	biosynthetic process
HIS92_RS00250	GO:0008152	BP	metabolic process
HIS92_RS00250	GO:0008150	BP	biological_process
HIS92_RS00255	GO:0006508	BP	proteolysis
HIS92_RS00255	GO:0008152	BP	metabolic process
HIS92_RS00255	GO:0006807	BP	nitrogen compound metabolic process
HIS92_RS00255	GO:0008150	BP	biological_process
HIS92_RS00255	GO:0019538	BP	protein metabolic process
HIS92_RS00255	GO:0043170	BP	macromolecule metabolic process
HIS92_RS00255	GO:0044238	BP	primary metabolic process
HIS92_RS00255	GO:0071704	BP	organic substance metabolic process
HIS92_RS00255	GO:1901564	BP	organonitrogen compound metabolic process
HIS92_RS00255	GO:0004222	MF	metalloendopeptidase activity
HIS92_RS00255	GO:0003674	MF	molecular_function
HIS92_RS00255	GO:0003824	MF	catalytic activity
HIS92_RS00255	GO:0004175	MF	endopeptidase activity
HIS92_RS00255	GO:0008237	MF	metallopeptidase activity
HIS92_RS00255	GO:0008233	MF	peptidase activity
HIS92_RS00255	GO:0070011	MF	peptidase activity, acting on L-amino acid peptides
HIS92_RS00255	GO:0016787	MF	hydrolase activity
HIS92_RS00255	GO:0140096	MF	catalytic activity, acting on a protein
HIS92_RS00265	GO:0030435	BP	sporulation resulting in formation of a cellular spore
HIS92_RS00265	GO:0009653	BP	anatomical structure morphogenesis
HIS92_RS00265	GO:0008150	BP	biological_process
HIS92_RS00265	GO:0009987	BP	cellular process
HIS92_RS00265	GO:0048646	BP	anatomical structure formation involved in morphogenesis
HIS92_RS00265	GO:0030154	BP	cell differentiation
HIS92_RS00265	GO:0032502	BP	developmental process
HIS92_RS00265	GO:0043934	BP	sporulation
HIS92_RS00265	GO:0048856	BP	anatomical structure development
HIS92_RS00265	GO:0048869	BP	cellular developmental process
HIS92_RS00265	GO:0031160	CC	spore wall
HIS92_RS00265	GO:0005575	CC	cellular_component
HIS92_RS00265	GO:0005618	CC	cell wall
HIS92_RS00265	GO:0005623	CC	cell
HIS92_RS00265	GO:0030312	CC	external encapsulating structure
HIS92_RS00265	GO:0044464	CC	cell part
HIS92_RS00265	GO:0071944	CC	cell periphery
HIS92_RS00275	GO:0030435	BP	sporulation resulting in formation of a cellular spore
HIS92_RS00275	GO:0009653	BP	anatomical structure morphogenesis
HIS92_RS00275	GO:0008150	BP	biological_process
HIS92_RS00275	GO:0009987	BP	cellular process
HIS92_RS00275	GO:0048646	BP	anatomical structure formation involved in morphogenesis
HIS92_RS00275	GO:0030154	BP	cell differentiation
HIS92_RS00275	GO:0032502	BP	developmental process
HIS92_RS00275	GO:0043934	BP	sporulation
HIS92_RS00275	GO:0048856	BP	anatomical structure development
HIS92_RS00275	GO:0048869	BP	cellular developmental process
HIS92_RS00275	GO:0031160	CC	spore wall
HIS92_RS00275	GO:0005575	CC	cellular_component
HIS92_RS00275	GO:0005618	CC	cell wall
HIS92_RS00275	GO:0005623	CC	cell
HIS92_RS00275	GO:0030312	CC	external encapsulating structure
HIS92_RS00275	GO:0044464	CC	cell part
HIS92_RS00275	GO:0071944	CC	cell periphery
HIS92_RS00280	GO:0008080	MF	N-acetyltransferase activity
HIS92_RS00280	GO:0003674	MF	molecular_function
HIS92_RS00280	GO:0003824	MF	catalytic activity
HIS92_RS00280	GO:0016407	MF	acetyltransferase activity
HIS92_RS00280	GO:0016410	MF	N-acyltransferase activity
HIS92_RS00280	GO:0016740	MF	transferase activity
HIS92_RS00280	GO:0016746	MF	transferase activity, transferring acyl groups
HIS92_RS00280	GO:0016747	MF	transferase activity, transferring acyl groups other than amino-acyl groups
HIS92_RS00300	GO:0055085	BP	transmembrane transport
HIS92_RS00300	GO:0006810	BP	transport
HIS92_RS00300	GO:0008150	BP	biological_process
HIS92_RS00300	GO:0051179	BP	localization
HIS92_RS00300	GO:0051234	BP	establishment of localization
HIS92_RS00300	GO:0016021	CC	integral component of membrane
HIS92_RS00300	GO:0005575	CC	cellular_component
HIS92_RS00300	GO:0016020	CC	membrane
HIS92_RS00300	GO:0031224	CC	intrinsic component of membrane
HIS92_RS00300	GO:0044425	CC	membrane part
HIS92_RS00325	GO:0055085	BP	transmembrane transport
HIS92_RS00325	GO:0006810	BP	transport
HIS92_RS00325	GO:0008150	BP	biological_process
HIS92_RS00325	GO:0051179	BP	localization
HIS92_RS00325	GO:0051234	BP	establishment of localization
HIS92_RS00325	GO:0016021	CC	integral component of membrane
HIS92_RS00325	GO:0005575	CC	cellular_component
HIS92_RS00325	GO:0016020	CC	membrane
HIS92_RS00325	GO:0031224	CC	intrinsic component of membrane
HIS92_RS00325	GO:0044425	CC	membrane part
HIS92_RS00350	GO:0016021	CC	integral component of membrane
HIS92_RS00350	GO:0005575	CC	cellular_component
HIS92_RS00350	GO:0016020	CC	membrane
HIS92_RS00350	GO:0031224	CC	intrinsic component of membrane
HIS92_RS00350	GO:0044425	CC	membrane part
HIS92_RS00365	GO:0008152	BP	metabolic process
HIS92_RS00365	GO:0008150	BP	biological_process
HIS92_RS00365	GO:0008168	MF	methyltransferase activity
HIS92_RS00365	GO:0003674	MF	molecular_function
HIS92_RS00365	GO:0003824	MF	catalytic activity
HIS92_RS00365	GO:0016740	MF	transferase activity
HIS92_RS00365	GO:0016741	MF	transferase activity, transferring one-carbon groups
HIS92_RS00400	GO:0009058	BP	biosynthetic process
HIS92_RS00400	GO:0008152	BP	metabolic process
HIS92_RS00400	GO:0008150	BP	biological_process
