Geneid	Chr	Start	End	Strand	Length	pDG_M-t0-1	pDG_M-t0-2	pDG7_M-t0-1	pDG7_M-t0-2	pDG-t0-1	pDG-t0-2	pDG7-t0-1	pDG7-t0-2	GIL01-t0-1	GIL01_M-t0-1
HIS92_RS00125	NZ_CP051858.1	22581	22889	-	309	2254	2263	2134	3585	1644	1389	2514	4103	846	243
HIS92_RS00130	NZ_CP051858.1	22877	23326	-	450	1972	2633	1696	3803	1681	1602	2613	4289	810	332
HIS92_RS00135	NZ_CP051858.1	23585	24349	+	765	814	917	357	960	676	798	1066	1285	491	136
HIS92_RS00140	NZ_CP051858.1	24583	25188	+	606	585	711	702	880	574	705	791	952	490	115
HIS92_RS00145	NZ_CP051858.1	25357	25581	+	225	3	1	1	5	3	1	2	1	2	1
HIS92_RS00150	NZ_CP051858.1	25622	26803	-	1182	173	222	243	411	371	330	597	841	992	261
HIS92_RS00155	NZ_CP051858.1	27143	28765	-	1623	11	23	26	17	11	31	10	17	29	12
HIS92_RS00160	NZ_CP051858.1	28785	29786	-	1002	7	15	22	12	3	5	0	32	25	10
HIS92_RS00165	NZ_CP051858.1	29827	30888	-	1062	2	8	20	12	1	8	2	28	39	11
HIS92_RS00170	NZ_CP051858.1	31075	31401	-	327	9	7	6	21	20	9	23	38	10	3
HIS92_RS00175	NZ_CP051858.1	31662	32018	-	357	6	13	7	8	6	9	6	17	19	11
HIS92_RS00180	NZ_CP051858.1	32303	33229	+	927	31	54	35	65	52	46	51	77	64	23
HIS92_RS00185	NZ_CP051858.1	33249	33845	-	597	4	9	14	7	6	8	5	16	30	2
HIS92_RS00190	NZ_CP051858.1	33842	34333	-	492	6	9	16	8	8	9	7	25	18	9
HIS92_RS00195	NZ_CP051858.1	34866	35096	-	231	31	36	50	51	74	68	92	126	106	19
HIS92_RS00200	NZ_CP051858.1	35364	35627	-	264	4	7	6	16	9	3	6	35	15	7
HIS92_RS00205	NZ_CP051858.1	35753	36313	-	561	8	20	16	14	10	14	19	33	39	5
HIS92_RS00210	NZ_CP051858.1	36416	37177	-	762	260	310	137	354	339	381	448	621	394	99
HIS92_RS00215	NZ_CP051858.1	37405	39144	-	1740	12	12	33	22	10	28	16	65	49	20
HIS92_RS00220	NZ_CP051858.1	39475	40317	-	843	107	125	221	249	298	206	361	565	726	215
HIS92_RS00225	NZ_CP051858.1	40507	41883	-	1377	9	9	25	17	10	9	17	35	61	16
HIS92_RS00230	NZ_CP051858.1	41876	42523	-	648	1	3	10	10	4	8	1	21	11	6
HIS92_RS00235	NZ_CP051858.1	42645	43061	+	417	0	6	4	1	1	3	4	2	12	0
HIS92_RS00240	NZ_CP051858.1	43260	43754	-	495	0	3	20	10	1	4	1	16	24	5
HIS92_RS00245	NZ_CP051858.1	43779	45179	-	1401	10	7	34	10	5	7	11	29	32	3
HIS92_RS00250	NZ_CP051858.1	45197	45946	-	750	2	2	15	6	6	9	6	13	15	3
HIS92_RS00255	NZ_CP051858.1	45959	47548	-	1590	5	15	22	12	9	19	14	36	44	13
HIS92_RS00260	NZ_CP051858.1	47838	48698	-	861	244	251	129	371	433	342	488	736	528	264
HIS92_RS00265	NZ_CP051858.1	49159	49611	-	453	10	3	5	8	3	6	15	11	8	0
HIS92_RS00270	NZ_CP051858.1	49626	49826	-	201	0	0	3	1	0	4	0	7	7	0
HIS92_RS00275	NZ_CP051858.1	50194	50742	-	549	5	6	15	6	4	1	2	8	9	1
HIS92_RS00280	NZ_CP051858.1	51400	51831	+	432	86	102	49	100	85	78	104	119	61	18
HIS92_RS00285	NZ_CP051858.1	52185	52955	-	771	104	171	148	185	216	285	363	411	305	42
HIS92_RS00290	NZ_CP051858.1	53212	53991	-	780	6	13	11	9	5	16	11	38	14	12
HIS92_RS00295	NZ_CP051858.1	54244	54564	+	321	4241	3301	1910	4020	3333	3331	4238	4486	2648	1038
HIS92_RS00300	NZ_CP051858.1	54619	56154	-	1536	157	190	137	207	321	342	302	494	338	197
HIS92_RS00305	NZ_CP051858.1	56178	56885	-	708	32	56	48	42	59	54	52	120	83	46
HIS92_RS00310	NZ_CP051858.1	56904	57614	-	711	5	4	13	9	16	13	14	23	28	12
HIS92_RS00315	NZ_CP051858.1	57628	58251	-	624	29	28	16	16	29	22	19	47	23	9
HIS92_RS00320	NZ_CP051858.1	58412	60148	-	1737	16	24	36	38	35	36	39	48	59	15
HIS92_RS00325	NZ_CP051858.1	60250	61464	+	1215	31	40	12	12	22	31	19	24	34	21
HIS92_RS00330	NZ_CP051858.1	61615	62286	-	672	13	15	13	7	6	6	11	16	15	8
HIS92_RS00335	NZ_CP051858.1	62310	62480	-	171	1	4	0	2	0	0	0	0	2	0
HIS92_RS00340	NZ_CP051858.1	62621	62767	-	147	23	32	16	28	22	14	33	36	14	10
HIS92_RS00345	NZ_CP051858.1	63028	63423	-	396	2314	2570	1296	2772	1552	1977	2221	2239	1645	569
HIS92_RS00350	NZ_CP051858.1	63503	63745	-	243	4	1	5	2	1	6	1	9	8	0
HIS92_RS00355	NZ_CP051858.1	63924	64889	-	966	3	4	14	10	3	10	3	23	38	4
HIS92_RS00360	NZ_CP051858.1	64967	65155	-	189	13	20	12	24	7	14	16	25	25	3
HIS92_RS00365	NZ_CP051858.1	65225	66010	-	786	35	55	39	58	44	43	50	51	32	7
HIS92_RS00370	NZ_CP051858.1	66206	66574	-	369	5	2	7	7	3	6	4	8	22	3
HIS92_RS00375	NZ_CP051858.1	67051	67203	+	153	0	0	0	0	1	0	0	0	1	1
HIS92_RS00380	NZ_CP051858.1	67373	67807	+	435	11	4	3	20	7	13	14	17	18	11
HIS92_RS00385	NZ_CP051858.1	68102	69304	+	1203	215	230	126	233	141	181	186	332	460	532
HIS92_RS00390	NZ_CP051858.1	69458	69757	+	300	14	13	10	31	12	18	24	16	12	16
HIS92_RS00395	NZ_CP051858.1	69927	70289	+	363	4	12	5	6	4	8	4	9	8	6
HIS92_RS00400	NZ_CP051858.1	70584	71783	+	1200	169	216	165	318	189	200	290	377	264	94
HIS92_RS00405	NZ_CP051858.1	71840	72238	+	399	7	7	10	6	19	8	11	20	18	9
HIS92_RS00410	NZ_CP051858.1	72323	73144	+	822	20	21	18	34	16	23	18	40	54	8
HIS92_RS00415	NZ_CP051858.1	73159	73368	-	210	0	1	8	9	6	5	3	17	23	3
HIS92_RS00420	NZ_CP051858.1	73426	74019	-	594	1	3	11	2	2	1	2	10	17	7
HIS92_RS00425	NZ_CP051858.1	74462	74602	+	141	26	24	11	59	63	33	65	148	22	10
HIS92_RS00430	NZ_CP051858.1	74630	74773	+	144	17	28	10	41	36	19	51	82	13	10
HIS92_RS00435	NZ_CP051858.1	74802	74945	+	144	23	10	5	26	39	18	39	69	12	3
HIS92_RS00440	NZ_CP051858.1	74972	75112	+	141	14	11	8	35	21	14	29	57	16	6
HIS92_RS00445	NZ_CP051858.1	75140	75280	+	141	25	38	12	75	54	36	61	127	43	13
HIS92_RS00450	NZ_CP051858.1	75521	76606	-	1086	569	602	433	733	602	725	792	876	1360	822
HIS92_RS00455	NZ_CP051858.1	76756	77577	+	822	394	573	166	589	484	591	698	671	479	195
HIS92_RS00460	NZ_CP051858.1	78094	79206	-	1113	1	4	19	11	4	14	5	31	34	12
HIS92_RS00465	NZ_CP051858.1	79283	80131	-	849	4	4	27	14	0	4	2	18	23	3
HIS92_RS00470	NZ_CP051858.1	80148	81134	-	987	1	2	12	2	4	1	0	9	17	1
HIS92_RS00475	NZ_CP051858.1	81152	81907	-	756	2	8	34	19	2	6	10	33	35	11
HIS92_RS00480	NZ_CP051858.1	82089	82601	-	513	46	28	34	49	62	45	69	79	74	9
HIS92_RS00485	NZ_CP051858.1	82775	83830	-	1056	43	92	45	101	59	59	149	131	97	50
HIS92_RS00490	NZ_CP051858.1	83843	84316	-	474	11	29	14	53	18	40	37	75	27	13
HIS92_RS00495	NZ_CP051858.1	84458	85147	-	690	10	23	24	16	19	16	22	45	46	15
HIS92_RS00500	NZ_CP051858.1	85163	85960	-	798	11	36	33	24	19	31	47	49	48	28
HIS92_RS00505	NZ_CP051858.1	86197	86598	-	402	3	1	10	6	1	1	4	9	14	2
HIS92_RS00510	NZ_CP051858.1	86655	87593	-	939	118	169	102	201	164	172	236	261	254	110
HIS92_RS00515	NZ_CP051858.1	87664	88185	-	522	5	6	12	4	4	7	2	19	20	4
HIS92_RS00520	NZ_CP051858.1	88201	88701	-	501	5	6	15	6	0	5	3	9	8	8
HIS92_RS00525	NZ_CP051858.1	88735	89280	-	546	6	2	18	4	1	7	4	8	31	1
HIS92_RS00530	NZ_CP051858.1	89296	89997	-	702	1	2	11	6	3	7	9	18	20	7
HIS92_RS00535	NZ_CP051858.1	90014	90697	-	684	8	24	15	39	9	23	20	32	40	5
HIS92_RS00540	NZ_CP051858.1	90896	91843	-	948	1	4	15	10	3	4	1	14	11	6
HIS92_RS00545	NZ_CP051858.1	92018	92407	-	390	14	22	18	22	10	20	11	20	30	5
HIS92_RS00550	NZ_CP051858.1	92596	93417	-	822	6	20	14	13	4	13	13	46	39	8
HIS92_RS00555	NZ_CP051858.1	94125	94355	-	231	15	16	8	15	7	7	11	17	11	8
HIS92_RS00560	NZ_CP051858.1	94573	95400	+	828	686	838	639	935	1082	1207	1262	1717	1781	1240
HIS92_RS00565	NZ_CP051858.1	95442	95867	-	426	66	79	33	88	51	77	82	89	73	32
HIS92_RS00570	NZ_CP051858.1	96022	96483	-	462	2	7	9	4	2	6	8	12	4	4
HIS92_RS00575	NZ_CP051858.1	96526	96750	+	225	0	0	2	2	0	3	0	5	3	0
HIS92_RS00580	NZ_CP051858.1	96932	97603	+	672	8	7	13	5	4	3	7	13	14	2
HIS92_RS00585	NZ_CP051858.1	97659	99632	-	1974	1832	2507	2382	3921	3291	3692	4181	5815	5235	2155
HIS92_RS00590	NZ_CP051858.1	100150	101775	-	1626	2334	3276	909	4079	3520	3457	4362	5939	5265	3539
HIS92_RS00595	NZ_CP051858.1	102088	105204	-	3117	476	168	618	40	1108	239	1049	922	3946	1858
HIS92_RS00600	NZ_CP051858.1	105457	106023	-	567	866	1042	689	792	1334	1051	1511	1747	1828	1013
HIS92_RS00605	NZ_CP051858.1	106253	107413	-	1161	28	59	38	59	47	34	63	79	67	25
HIS92_RS00610	NZ_CP051858.1	107539	108828	-	1290	493	593	354	617	455	531	531	630	570	506
HIS92_RS00615	NZ_CP051858.1	108846	109946	-	1101	228	232	209	259	202	207	225	291	228	235
HIS92_RS00620	NZ_CP051858.1	109939	111039	-	1101	104	159	93	208	93	114	116	159	166	192
HIS92_RS00625	NZ_CP051858.1	111058	112230	-	1173	189	298	134	273	164	163	173	243	237	168
HIS92_RS00630	NZ_CP051858.1	112513	113589	-	1077	2965	4640	903	5336	2087	2431	2856	3143	1850	689
HIS92_RS00635	NZ_CP051858.1	114419	117901	-	3483	397	693	291	759	486	600	688	827	522	190
HIS92_RS00640	NZ_CP051858.1	118083	118520	+	438	3	6	2	2	0	1	1	4	8	2
HIS92_RS00645	NZ_CP051858.1	118670	119200	-	531	26	30	20	52	36	48	43	52	48	20
HIS92_RS00650	NZ_CP051858.1	119243	119782	-	540	4	13	24	4	11	20	17	21	37	10
HIS92_RS00655	NZ_CP051858.1	119795	120100	-	306	7	14	16	9	10	10	7	12	34	9
HIS92_RS00660	NZ_CP051858.1	120201	120719	+	519	17	21	33	41	31	42	29	44	43	12
HIS92_RS00665	NZ_CP051858.1	121088	122725	-	1638	1007	1377	698	1696	1601	1474	1646	1826	2390	823
HIS92_RS00670	NZ_CP051858.1	122938	123429	-	492	26	30	10	6	4	7	6	7	17	8
HIS92_RS00675	NZ_CP051858.1	123862	124344	+	483	148	186	115	227	179	195	220	260	131	44
HIS92_RS00680	NZ_CP051858.1	124466	124816	+	351	107	138	126	157	154	170	223	166	98	36
HIS92_RS00685	NZ_CP051858.1	124951	125996	-	1046	7	10	26	12	5	9	8	40	38	13
HIS92_RS00690	NZ_CP051858.1	126373	127875	+	1503	317	440	374	478	580	700	735	910	704	402
HIS92_RS00695	NZ_CP051858.1	127921	128964	-	1044	5	9	31	18	1	18	10	43	40	11
HIS92_RS00700	NZ_CP051858.1	128961	129950	-	990	2	11	9	6	9	6	2	20	21	8
HIS92_RS00705	NZ_CP051858.1	129947	130900	-	954	3	8	18	16	3	6	2	19	27	7
HIS92_RS00710	NZ_CP051858.1	130897	132378	-	1482	7	11	47	23	2	15	7	35	65	4
HIS92_RS00715	NZ_CP051858.1	132558	133508	+	951	1	2	7	11	1	1	1	5	17	3
HIS92_RS00720	NZ_CP051858.1	133508	135070	+	1563	1	2	10	3	1	0	4	9	15	3
HIS92_RS00725	NZ_CP051858.1	135097	135459	+	363	0	0	4	0	0	1	0	1	2	1
HIS92_RS00730	NZ_CP051858.1	135466	136248	+	783	0	0	4	4	0	3	2	9	8	0
HIS92_RS00735	NZ_CP051858.1	136314	136919	+	606	132	226	73	234	174	196	189	278	143	77
HIS92_RS00740	NZ_CP051858.1	137024	137443	-	420	51	57	32	64	43	63	74	99	66	37
HIS92_RS00745	NZ_CP051858.1	137677	138003	-	327	442	626	158	616	711	765	871	1145	455	201
HIS92_RS00750	NZ_CP051858.1	138100	139320	-	1221	3	8	40	8	4	19	8	30	46	16
HIS92_RS00755	NZ_CP051858.1	139372	140412	-	1041	14	21	36	28	18	44	32	39	40	11
HIS92_RS00760	NZ_CP051858.1	140578	141771	+	1194	8	5	18	12	2	1	3	13	13	2
HIS92_RS00765	NZ_CP051858.1	141828	143075	-	1248	109	163	122	209	250	269	256	370	356	247
HIS92_RS00770	NZ_CP051858.1	143092	144195	-	1104	13	24	46	23	36	40	48	73	82	104
HIS92_RS00775	NZ_CP051858.1	144885	145703	+	819	54	59	27	81	60	58	112	173	203	85
HIS92_RS00780	NZ_CP051858.1	145882	147546	-	1665	11	18	23	22	16	22	14	35	37	13
HIS92_RS00785	NZ_CP051858.1	147599	148348	-	750	11	19	16	11	19	17	19	58	25	5
HIS92_RS00790	NZ_CP051858.1	148616	150040	+	1425	7	13	21	9	8	12	15	27	37	18
HIS92_RS00795	NZ_CP051858.1	150380	150727	+	348	106	86	48	112	96	97	120	124	102	31
HIS92_RS00800	NZ_CP051858.1	150927	151886	-	960	7	13	11	24	18	14	14	24	45	26
HIS92_RS00805	NZ_CP051858.1	151899	152113	-	215	1	3	2	1	2	4	6	16	17	7
HIS92_RS00810	NZ_CP051858.1	152388	153419	-	1032	935	1294	1088	1723	2528	2622	3161	3661	5701	2266
HIS92_RS00815	NZ_CP051858.1	153726	156113	-	2388	12	18	58	25	28	46	29	68	77	30
HIS92_RS00820	NZ_CP051858.1	156403	157233	-	831	2	4	10	3	2	4	3	13	4	7
HIS92_RS00825	NZ_CP051858.1	157720	159393	-	1674	17	39	36	24	18	20	34	56	68	18
HIS92_RS00830	NZ_CP051858.1	159687	160169	+	483	178	189	142	193	148	169	214	241	176	80
HIS92_RS00835	NZ_CP051858.1	160180	160395	+	216	59	70	70	93	78	84	99	116	103	31
HIS92_RS00840	NZ_CP051858.1	160436	160747	-	312	26	18	31	27	17	42	37	38	32	18
HIS92_RS00845	NZ_CP051858.1	161020	161598	-	579	66	110	106	191	107	137	123	135	106	30
HIS92_RS00850	NZ_CP051858.1	161622	162203	-	582	31	54	33	94	68	81	74	71	62	13
HIS92_RS00855	NZ_CP051858.1	162203	162745	-	543	15	39	27	43	31	44	44	64	37	11
HIS92_RS00860	NZ_CP051858.1	162760	163143	-	384	10	32	25	45	21	32	27	33	24	9
HIS92_RS00865	NZ_CP051858.1	163425	163670	+	246	1	1	6	2	1	2	3	12	6	0
HIS92_RS00870	NZ_CP051858.1	164215	164742	-	528	58	101	82	170	200	213	245	303	170	50
HIS92_RS00875	NZ_CP051858.1	164750	165067	-	318	42	54	41	79	105	127	113	127	43	25
HIS92_RS00880	NZ_CP051858.1	165274	166203	+	930	108	88	54	108	80	122	104	158	181	189
HIS92_RS00885	NZ_CP051858.1	166200	167366	+	1167	93	125	62	117	106	99	100	175	251	183
HIS92_RS00890	NZ_CP051858.1	167338	168447	+	1110	145	177	103	172	157	171	160	214	320	198
HIS92_RS00895	NZ_CP051858.1	168636	169484	-	849	113	207	149	304	247	282	310	363	186	46
HIS92_RS00900	NZ_CP051858.1	170138	171595	-	1458	4822	7445	4691	8385	5771	6508	7385	9521	4206	2835
HIS92_RS00905	NZ_CP051858.1	171834	173051	-	1218	9	11	46	23	10	22	16	55	74	25
HIS92_RS00910	NZ_CP051858.1	173353	174732	+	1380	19	21	18	11	12	17	12	30	32	9
HIS92_RS00915	NZ_CP051858.1	174858	175379	-	522	3	2	11	3	4	6	7	20	26	7
HIS92_RS00920	NZ_CP051858.1	175493	177247	-	1755	24	58	42	72	45	52	42	93	75	18
HIS92_RS00925	NZ_CP051858.1	177591	178757	-	1167	9	19	33	20	5	17	11	50	31	10
HIS92_RS00930	NZ_CP051858.1	179010	179516	-	507	127	126	176	218	186	229	270	308	158	31
HIS92_RS00935	NZ_CP051858.1	179700	179873	-	174	6	26	16	29	15	11	19	23	22	8
HIS92_RS00940	NZ_CP051858.1	180009	180506	-	498	30	50	30	51	34	56	58	84	54	29
HIS92_RS00945	NZ_CP051858.1	180512	181005	-	494	52	81	25	64	67	89	102	137	93	50
HIS92_RS00950	NZ_CP051858.1	181489	182124	-	636	18	16	3	25	14	23	10	28	45	37
HIS92_RS00955	NZ_CP051858.1	182121	182483	-	363	5	12	3	10	5	15	11	19	39	24
HIS92_RS00960	NZ_CP051858.1	182524	182799	-	276	11	8	10	4	0	7	7	13	22	8
HIS92_RS00965	NZ_CP051858.1	183012	183305	-	294	178	165	78	132	97	129	112	144	153	71
HIS92_RS00970	NZ_CP051858.1	183352	183990	-	639	245	344	89	243	173	176	186	258	265	185
HIS92_RS00975	NZ_CP051858.1	184009	184437	-	429	157	153	60	115	81	92	102	149	127	64
HIS92_RS00980	NZ_CP051858.1	184702	186645	+	1944	79	150	86	98	113	156	128	174	155	86
HIS92_RS00985	NZ_CP051858.1	186692	187357	-	666	10	8	25	19	10	18	6	36	46	13
HIS92_RS00990	NZ_CP051858.1	187358	187825	-	468	1	7	16	2	3	3	1	8	15	9
HIS92_RS00995	NZ_CP051858.1	188019	188810	+	792	135	152	52	76	53	68	73	123	111	52
HIS92_RS01000	NZ_CP051858.1	188870	189907	-	1038	9	12	28	13	9	15	7	17	45	11
HIS92_RS01005	NZ_CP051858.1	190050	190715	-	666	3	9	22	8	4	6	7	27	31	4
HIS92_RS01010	NZ_CP051858.1	190715	191979	-	1265	3	4	8	7	3	6	4	22	21	2
HIS92_RS01015	NZ_CP051858.1	191985	193070	-	1086	3	6	19	13	2	2	5	29	30	2
HIS92_RS01020	NZ_CP051858.1	193435	194379	-	945	4	9	23	8	7	5	8	21	34	11
HIS92_RS01025	NZ_CP051858.1	194404	195294	-	891	42	57	114	61	38	84	82	102	95	38
HIS92_RS01030	NZ_CP051858.1	195343	195813	-	471	2	6	13	9	3	5	5	16	23	15
HIS92_RS01035	NZ_CP051858.1	195831	196232	-	402	0	4	6	4	1	5	3	16	28	2
HIS92_RS01040	NZ_CP051858.1	196329	196781	+	453	48	47	33	56	14	32	41	52	58	22
HIS92_RS01045	NZ_CP051858.1	196815	197726	-	912	27	38	25	36	22	29	111	49	132	53
HIS92_RS01050	NZ_CP051858.1	197851	199302	+	1452	19	34	24	29	47	42	59	84	51	37
HIS92_RS01055	NZ_CP051858.1	199373	199813	+	441	166	204	73	145	142	165	202	210	228	225
HIS92_RS01060	NZ_CP051858.1	199900	200214	-	315	15	6	23	12	8	24	12	24	17	5
HIS92_RS01065	NZ_CP051858.1	200458	201330	+	873	155	231	85	289	218	239	256	252	180	71
HIS92_RS01070	NZ_CP051858.1	201449	202273	-	825	190	270	103	354	264	303	391	406	208	163
HIS92_RS01075	NZ_CP051858.1	202397	203062	-	666	29	49	23	46	31	48	48	56	59	34
HIS92_RS01080	NZ_CP051858.1	203235	203978	-	744	34	53	26	53	29	32	39	67	65	82
HIS92_RS01085	NZ_CP051858.1	203992	204930	-	939	2	15	28	13	7	15	4	30	25	31
HIS92_RS01090	NZ_CP051858.1	204945	205742	-	798	4	11	34	7	6	11	2	21	22	23
HIS92_RS01095	NZ_CP051858.1	205841	206851	+	1011	0	1	12	5	0	3	1	5	8	2
HIS92_RS01100	NZ_CP051858.1	206891	207340	-	450	65	77	42	94	49	50	100	88	84	26
HIS92_RS01105	NZ_CP051858.1	208031	209497	+	1467	110	122	61	87	132	167	128	193	183	135
HIS92_RS01110	NZ_CP051858.1	209611	209916	+	306	49	72	23	66	47	50	61	70	38	40
HIS92_RS01115	NZ_CP051858.1	209950	210393	+	444	71	121	34	124	67	95	103	103	57	47
HIS92_RS01120	NZ_CP051858.1	211294	211482	+	189	5	5	4	8	1	1	3	5	12	3
HIS92_RS01125	NZ_CP051858.1	211578	212528	-	951	14	34	11	25	14	22	11	24	41	19
HIS92_RS01130	NZ_CP051858.1	212955	213230	+	276	130	170	82	227	166	175	235	249	160	57
HIS92_RS01135	NZ_CP051858.1	213290	213523	-	234	10	13	10	10	16	6	18	10	17	21
HIS92_RS01140	NZ_CP051858.1	213763	213996	-	234	16	32	9	18	12	5	11	19	23	17
HIS92_RS01145	NZ_CP051858.1	214293	214439	-	147	66	90	61	90	51	67	80	80	72	44
HIS92_RS01150	NZ_CP051858.1	214986	215447	-	462	196	294	87	229	142	128	167	179	145	156
HIS92_RS01155	NZ_CP051858.1	215664	216216	-	553	7	10	7	2	4	3	10	9	14	13
HIS92_RS01160	NZ_CP051858.1	216444	216671	-	228	2	4	3	6	0	5	1	6	15	4
HIS92_RS01165	NZ_CP051858.1	216984	217745	+	762	133	226	64	171	93	132	143	128	120	77
HIS92_RS01170	NZ_CP051858.1	217926	218450	-	525	13	31	24	38	11	26	16	41	45	17
HIS92_RS01175	NZ_CP051858.1	218657	219232	+	576	4	7	11	6	1	6	2	6	11	4
HIS92_RS01180	NZ_CP051858.1	219267	219788	-	522	6	11	17	13	7	8	13	21	38	17
HIS92_RS01185	NZ_CP051858.1	219871	222024	-	2154	33	44	63	59	46	48	53	88	145	25
HIS92_RS01190	NZ_CP051858.1	222348	223076	-	729	508	543	383	695	576	575	585	666	406	135
HIS92_RS01195	NZ_CP051858.1	223152	223799	-	648	5	6	13	6	1	5	6	7	8	5
HIS92_RS01200	NZ_CP051858.1	223815	224777	-	963	4	8	20	3	5	9	8	31	30	5
HIS92_RS01205	NZ_CP051858.1	224779	225474	-	696	3	2	15	5	1	4	4	12	20	8
HIS92_RS01210	NZ_CP051858.1	225496	226257	-	762	3	2	15	8	1	0	2	11	28	7
HIS92_RS01215	NZ_CP051858.1	226276	227265	-	990	5	10	30	17	5	11	4	37	41	5
HIS92_RS01220	NZ_CP051858.1	227256	227969	-	714	4	3	23	12	5	6	5	18	25	13
HIS92_RS01225	NZ_CP051858.1	227984	228736	-	753	4	12	19	19	7	1	12	35	31	7
HIS92_RS01230	NZ_CP051858.1	228892	229443	-	552	627	737	486	871	618	805	964	947	504	176
HIS92_RS01235	NZ_CP051858.1	229467	230144	-	678	351	479	240	589	464	622	587	697	280	136
HIS92_RS01240	NZ_CP051858.1	230342	231049	-	708	114	175	62	168	101	143	173	166	108	69
HIS92_RS01245	NZ_CP051858.1	231119	231589	+	471	7	8	5	7	6	10	12	14	13	0
HIS92_RS01250	NZ_CP051858.1	231805	232953	-	1149	627	814	782	1296	1398	1090	1410	2003	1886	1121
HIS92_RS01255	NZ_CP051858.1	233255	233887	-	633	621	830	534	1064	1033	978	1313	1822	1607	836
HIS92_RS01260	NZ_CP051858.1	234218	234805	-	588	9	18	22	28	17	12	18	36	29	11
HIS92_RS01265	NZ_CP051858.1	235024	236352	-	1329	53	62	52	84	74	77	88	117	126	60
HIS92_RS01270	NZ_CP051858.1	236461	237342	-	882	3	7	43	12	8	16	6	33	52	12
HIS92_RS01275	NZ_CP051858.1	237343	237858	-	516	1	3	29	10	5	7	4	20	38	6
HIS92_RS01280	NZ_CP051858.1	237882	238349	-	468	1	2	6	1	1	2	3	14	7	3
HIS92_RS01285	NZ_CP051858.1	238566	239000	-	435	5	7	11	5	5	2	4	18	12	1
HIS92_RS01290	NZ_CP051858.1	239310	239816	+	507	4	5	17	14	10	9	16	27	22	7
HIS92_RS01295	NZ_CP051858.1	239921	241102	-	1182	7	20	28	18	17	25	33	48	40	19
HIS92_RS01300	NZ_CP051858.1	241244	241891	+	648	26	33	23	31	21	33	45	40	33	16
HIS92_RS01305	NZ_CP051858.1	241943	244549	-	2607	229	279	297	430	253	338	310	536	368	275
HIS92_RS01310	NZ_CP051858.1	245053	245898	+	846	68	111	46	75	100	95	67	133	99	94
HIS92_RS01315	NZ_CP051858.1	246203	246679	+	477	26	44	15	12	21	21	21	32	14	18
HIS92_RS01320	NZ_CP051858.1	246715	247230	-	516	34	21	8	10	10	19	8	22	30	14
HIS92_RS01325	NZ_CP051858.1	247525	247737	-	213	3	6	5	3	5	4	3	9	9	1
