Geneid	Chr	Start	End	Strand	Length	pDG7_M-t0-3	pDG7-t0-3	pDG_M-t0-3	pDG-t0-3
HIS92_RS00550	NZ_CP051858.1	92596	93417	-	822	10	12	10	9
HIS92_RS00555	NZ_CP051858.1	94125	94355	-	231	16	10	20	9
HIS92_RS00560	NZ_CP051858.1	94573	95400	+	828	2930	3381	996	3149
HIS92_RS00565	NZ_CP051858.1	95442	95867	-	426	168	161	124	181
HIS92_RS00570	NZ_CP051858.1	96022	96483	-	462	18	9	4	5
HIS92_RS00575	NZ_CP051858.1	96526	96750	+	225	0	0	0	1
HIS92_RS00580	NZ_CP051858.1	96932	97603	+	672	5	2	6	2
HIS92_RS00585	NZ_CP051858.1	97659	99632	-	1974	9974	9029	2706	7539
HIS92_RS00590	NZ_CP051858.1	100150	101775	-	1626	12536	15459	4032	14055
HIS92_RS00595	NZ_CP051858.1	102088	105204	-	3117	83	38	238	51
HIS92_RS00600	NZ_CP051858.1	105457	106023	-	567	733	716	433	650
HIS92_RS00605	NZ_CP051858.1	106253	107413	-	1161	37	66	23	63
HIS92_RS00610	NZ_CP051858.1	107539	108828	-	1290	2320	2069	1034	1880
HIS92_RS00615	NZ_CP051858.1	108846	109946	-	1101	951	1029	430	985
HIS92_RS00620	NZ_CP051858.1	109939	111039	-	1101	633	580	285	523
HIS92_RS00625	NZ_CP051858.1	111058	112230	-	1173	789	715	410	580
HIS92_RS00630	NZ_CP051858.1	112513	113589	-	1077	4177	4848	1767	4338
HIS92_RS00635	NZ_CP051858.1	114419	117901	-	3483	225	539	184	520
HIS92_RS00640	NZ_CP051858.1	118083	118520	+	438	4	0	11	1
HIS92_RS00645	NZ_CP051858.1	118670	119200	-	531	45	41	13	37
HIS92_RS00650	NZ_CP051858.1	119243	119782	-	540	12	7	8	1
HIS92_RS00655	NZ_CP051858.1	119795	120100	-	306	0	4	1	4
HIS92_RS00660	NZ_CP051858.1	120201	120719	+	519	19	46	4	28
HIS92_RS00665	NZ_CP051858.1	121088	122725	-	1638	1583	1948	679	1490
HIS92_RS00670	NZ_CP051858.1	122938	123429	-	492	10	3	20	3
HIS92_RS00675	NZ_CP051858.1	123862	124344	+	483	180	298	82	259
HIS92_RS00680	NZ_CP051858.1	124466	124816	+	351	80	42	11	30
HIS92_RS00685	NZ_CP051858.1	124951	125996	-	1046	17	13	17	25
HIS92_RS00690	NZ_CP051858.1	126373	127875	+	1503	702	1308	426	1112
HIS92_RS00695	NZ_CP051858.1	127921	128964	-	1044	3	7	3	6
HIS92_RS00700	NZ_CP051858.1	128961	129950	-	990	7	2	14	2
HIS92_RS00705	NZ_CP051858.1	129947	130900	-	954	2	10	15	2
HIS92_RS00710	NZ_CP051858.1	130897	132378	-	1482	5	2	17	4
HIS92_RS00715	NZ_CP051858.1	132558	133508	+	951	0	0	1	0
HIS92_RS00720	NZ_CP051858.1	133508	135070	+	1563	1	3	2	2
HIS92_RS00725	NZ_CP051858.1	135097	135459	+	363	0	1	1	1
HIS92_RS00730	NZ_CP051858.1	135466	136248	+	783	1	0	3	1
HIS92_RS00735	NZ_CP051858.1	136314	136919	+	606	143	244	89	228
HIS92_RS00740	NZ_CP051858.1	137024	137443	-	420	29	24	32	25
HIS92_RS00745	NZ_CP051858.1	137677	138003	-	327	246	304	218	328
HIS92_RS00750	NZ_CP051858.1	138100	139320	-	1221	3	10	6	15
HIS92_RS00755	NZ_CP051858.1	139372	140412	-	1041	22	35	8	23
HIS92_RS00760	NZ_CP051858.1	140578	141771	+	1194	2	0	8	2
HIS92_RS00765	NZ_CP051858.1	141828	143075	-	1248	699	882	182	776
HIS92_RS00770	NZ_CP051858.1	143092	144195	-	1104	297	454	64	367
HIS92_RS00775	NZ_CP051858.1	144885	145703	+	819	753	550	99	451
HIS92_RS00780	NZ_CP051858.1	145882	147546	-	1665	49	101	27	86
HIS92_RS00785	NZ_CP051858.1	147599	148348	-	750	14	28	11	35
HIS92_RS00790	NZ_CP051858.1	148616	150040	+	1425	6	22	23	15
HIS92_RS00795	NZ_CP051858.1	150380	150727	+	348	58	81	12	105
HIS92_RS00800	NZ_CP051858.1	150927	151886	-	960	19	20	7	15
HIS92_RS00805	NZ_CP051858.1	151899	152113	-	215	0	5	1	2
HIS92_RS00810	NZ_CP051858.1	152388	153419	-	1032	3354	4415	596	2206
HIS92_RS00815	NZ_CP051858.1	153726	156113	-	2388	9	28	28	17
HIS92_RS00820	NZ_CP051858.1	156403	157233	-	831	11	3	5	16
HIS92_RS00825	NZ_CP051858.1	157720	159393	-	1674	21	29	21	25
HIS92_RS00830	NZ_CP051858.1	159687	160169	+	483	83	177	44	173
HIS92_RS00835	NZ_CP051858.1	160180	160395	+	216	56	53	8	57
HIS92_RS00840	NZ_CP051858.1	160436	160747	-	312	12	31	5	25
HIS92_RS00845	NZ_CP051858.1	161020	161598	-	579	27	46	2	43
HIS92_RS00850	NZ_CP051858.1	161622	162203	-	582	32	47	6	38
HIS92_RS00855	NZ_CP051858.1	162203	162745	-	543	17	56	4	39
HIS92_RS00860	NZ_CP051858.1	162760	163143	-	384	8	32	3	21
HIS92_RS00865	NZ_CP051858.1	163425	163670	+	246	1	0	4	0
HIS92_RS00870	NZ_CP051858.1	164215	164742	-	528	90	158	23	143
HIS92_RS00875	NZ_CP051858.1	164750	165067	-	318	32	147	23	141
HIS92_RS00880	NZ_CP051858.1	165274	166203	+	930	213	449	163	432
HIS92_RS00885	NZ_CP051858.1	166200	167366	+	1167	120	364	140	326
HIS92_RS00890	NZ_CP051858.1	167338	168447	+	1110	207	343	149	341
HIS92_RS00895	NZ_CP051858.1	168636	169484	-	849	69	111	16	84
HIS92_RS00900	NZ_CP051858.1	170138	171595	-	1458	8229	4961	4026	3862
HIS92_RS00905	NZ_CP051858.1	171834	173051	-	1218	15	15	11	12
HIS92_RS00910	NZ_CP051858.1	173353	174732	+	1380	15	19	57	11
HIS92_RS00915	NZ_CP051858.1	174858	175379	-	522	3	2	3	3
HIS92_RS00920	NZ_CP051858.1	175493	177247	-	1755	61	59	32	41
HIS92_RS00925	NZ_CP051858.1	177591	178757	-	1167	19	24	10	9
HIS92_RS00930	NZ_CP051858.1	179010	179516	-	507	104	112	43	128
HIS92_RS00935	NZ_CP051858.1	179700	179873	-	174	19	3	0	5
HIS92_RS00940	NZ_CP051858.1	180009	180506	-	498	22	47	6	22
HIS92_RS00945	NZ_CP051858.1	180512	181005	-	494	48	113	19	96
HIS92_RS00950	NZ_CP051858.1	181489	182124	-	636	7	22	6	14
HIS92_RS00955	NZ_CP051858.1	182121	182483	-	363	2	19	1	14
HIS92_RS00960	NZ_CP051858.1	182524	182799	-	276	0	5	0	6
HIS92_RS00965	NZ_CP051858.1	183012	183305	-	294	335	163	369	186
HIS92_RS00970	NZ_CP051858.1	183352	183990	-	639	506	454	909	439
HIS92_RS00975	NZ_CP051858.1	184009	184437	-	429	250	289	435	264
HIS92_RS00980	NZ_CP051858.1	184702	186645	+	1944	126	298	71	298
HIS92_RS00985	NZ_CP051858.1	186692	187357	-	666	9	9	6	5
HIS92_RS00990	NZ_CP051858.1	187358	187825	-	468	1	1	8	4
HIS92_RS00995	NZ_CP051858.1	188019	188810	+	792	113	192	249	169
HIS92_RS01000	NZ_CP051858.1	188870	189907	-	1038	12	14	13	18
HIS92_RS01005	NZ_CP051858.1	190050	190715	-	666	4	0	2	4
HIS92_RS01010	NZ_CP051858.1	190715	191979	-	1265	5	8	3	8
HIS92_RS01015	NZ_CP051858.1	191985	193070	-	1086	2	4	2	3
HIS92_RS01020	NZ_CP051858.1	193435	194379	-	945	13	25	3	9
HIS92_RS01025	NZ_CP051858.1	194404	195294	-	891	20	21	9	28
HIS92_RS01030	NZ_CP051858.1	195343	195813	-	471	12	9	1	12
HIS92_RS01035	NZ_CP051858.1	195831	196232	-	402	0	3	2	4
HIS92_RS01040	NZ_CP051858.1	196329	196781	+	453	73	51	35	45
HIS92_RS01045	NZ_CP051858.1	196815	197726	-	912	33	20	27	58
HIS92_RS01050	NZ_CP051858.1	197851	199302	+	1452	69	121	35	85
HIS92_RS01055	NZ_CP051858.1	199373	199813	+	441	289	515	293	500
HIS92_RS01060	NZ_CP051858.1	199900	200214	-	315	3	12	3	10
HIS92_RS01065	NZ_CP051858.1	200458	201330	+	873	320	552	193	506
HIS92_RS01070	NZ_CP051858.1	201449	202273	-	825	569	658	149	577
HIS92_RS01075	NZ_CP051858.1	202397	203062	-	666	116	117	27	121
HIS92_RS01080	NZ_CP051858.1	203235	203978	-	744	103	142	46	121
HIS92_RS01085	NZ_CP051858.1	203992	204930	-	939	26	41	8	28
HIS92_RS01090	NZ_CP051858.1	204945	205742	-	798	9	15	3	15
HIS92_RS01095	NZ_CP051858.1	205841	206851	+	1011	1	0	0	0
HIS92_RS01100	NZ_CP051858.1	206891	207340	-	450	71	91	70	78
HIS92_RS01105	NZ_CP051858.1	208031	209497	+	1467	192	127	324	141
HIS92_RS01110	NZ_CP051858.1	209611	209916	+	306	63	179	59	153
HIS92_RS01115	NZ_CP051858.1	209950	210393	+	444	156	279	116	250
HIS92_RS01120	NZ_CP051858.1	211294	211482	+	189	10	11	17	13
HIS92_RS01125	NZ_CP051858.1	211578	212528	-	951	8	16	40	32
HIS92_RS01130	NZ_CP051858.1	212955	213230	+	276	42	85	50	59
HIS92_RS01135	NZ_CP051858.1	213290	213523	-	234	16	9	16	7
HIS92_RS01140	NZ_CP051858.1	213763	213996	-	234	22	25	23	8
HIS92_RS01145	NZ_CP051858.1	214293	214439	-	147	99	62	58	45
HIS92_RS01150	NZ_CP051858.1	214986	215447	-	462	267	305	125	102
HIS92_RS01155	NZ_CP051858.1	215664	216216	-	553	13	13	10	12
HIS92_RS01160	NZ_CP051858.1	216444	216671	-	228	2	2	10	0
HIS92_RS01165	NZ_CP051858.1	216984	217745	+	762	58	110	16	103
HIS92_RS01170	NZ_CP051858.1	217926	218450	-	525	36	55	25	33
HIS92_RS01175	NZ_CP051858.1	218657	219232	+	576	2	5	3	1
HIS92_RS01180	NZ_CP051858.1	219267	219788	-	522	21	26	6	13
HIS92_RS01185	NZ_CP051858.1	219871	222024	-	2154	13	41	23	30
HIS92_RS01190	NZ_CP051858.1	222348	223076	-	729	301	528	136	409
HIS92_RS01195	NZ_CP051858.1	223152	223799	-	648	1	1	3	2
HIS92_RS01200	NZ_CP051858.1	223815	224777	-	963	4	1	3	3
HIS92_RS01205	NZ_CP051858.1	224779	225474	-	696	0	0	1	1
HIS92_RS01210	NZ_CP051858.1	225496	226257	-	762	0	1	2	0
HIS92_RS01215	NZ_CP051858.1	226276	227265	-	990	0	6	1	2
HIS92_RS01220	NZ_CP051858.1	227256	227969	-	714	5	1	0	8
HIS92_RS01225	NZ_CP051858.1	227984	228736	-	753	1	7	6	8
HIS92_RS01230	NZ_CP051858.1	228892	229443	-	552	1110	1407	308	1163
HIS92_RS01235	NZ_CP051858.1	229467	230144	-	678	664	1118	192	939
HIS92_RS01240	NZ_CP051858.1	230342	231049	-	708	182	214	124	210
HIS92_RS01245	NZ_CP051858.1	231119	231589	+	471	17	6	10	13
HIS92_RS01250	NZ_CP051858.1	231805	232953	-	1149	1433	1607	435	1159
HIS92_RS01255	NZ_CP051858.1	233255	233887	-	633	673	1433	429	1085
HIS92_RS01260	NZ_CP051858.1	234218	234805	-	588	27	36	5	24
HIS92_RS01265	NZ_CP051858.1	235024	236352	-	1329	37	34	19	33
HIS92_RS01270	NZ_CP051858.1	236461	237342	-	882	7	4	0	2
HIS92_RS01275	NZ_CP051858.1	237343	237858	-	516	0	1	1	4
HIS92_RS01280	NZ_CP051858.1	237882	238349	-	468	1	0	0	0
HIS92_RS01285	NZ_CP051858.1	238566	239000	-	435	3	7	17	6
HIS92_RS01290	NZ_CP051858.1	239310	239816	+	507	6	12	13	10
HIS92_RS01295	NZ_CP051858.1	239921	241102	-	1182	17	11	10	5
HIS92_RS01300	NZ_CP051858.1	241244	241891	+	648	77	97	30	134
HIS92_RS01305	NZ_CP051858.1	241943	244549	-	2607	1349	617	251	532
HIS92_RS01310	NZ_CP051858.1	245053	245898	+	846	103	140	149	95
HIS92_RS01315	NZ_CP051858.1	246203	246679	+	477	14	16	21	20
HIS92_RS01320	NZ_CP051858.1	246715	247230	-	516	23	9	57	18
HIS92_RS01325	NZ_CP051858.1	247525	247737	-	213	5	7	13	6
HIS92_RS01330	NZ_CP051858.1	248003	249136	+	1134	22	52	13	19
HIS92_RS01335	NZ_CP051858.1	249299	250183	+	885	27	46	14	23
HIS92_RS01340	NZ_CP051858.1	250445	251875	-	1431	167	91	184	83
HIS92_RS01345	NZ_CP051858.1	251929	252933	-	1005	37	31	20	35
HIS92_RS01350	NZ_CP051858.1	253117	253494	+	378	69	106	58	73
HIS92_RS01355	NZ_CP051858.1	253552	253767	+	216	70	55	28	43
HIS92_RS01360	NZ_CP051858.1	254080	254255	-	176	1	10	4	3
HIS92_RS01365	NZ_CP051858.1	254358	255437	-	1080	14	23	14	17
HIS92_RS01370	NZ_CP051858.1	255440	256522	-	1083	10	6	9	3
HIS92_RS01375	NZ_CP051858.1	256543	258042	-	1500	6	8	18	6
HIS92_RS01380	NZ_CP051858.1	258409	260814	-	2406	31	41	22	31
HIS92_RS01385	NZ_CP051858.1	261494	262894	-	1401	25	20	8	19
HIS92_RS01390	NZ_CP051858.1	263269	264396	-	1128	82	109	15	94
HIS92_RS01395	NZ_CP051858.1	264433	265653	-	1221	80	91	8	52
HIS92_RS01400	NZ_CP051858.1	265715	267034	-	1320	176	154	10	140
HIS92_RS01405	NZ_CP051858.1	268215	269444	-	1230	172	184	29	174
HIS92_RS01410	NZ_CP051858.1	269874	270002	+	129	88	166	119	126
HIS92_RS01415	NZ_CP051858.1	270795	270968	-	174	28	16	12	25
HIS92_RS01420	NZ_CP051858.1	271173	271814	-	642	3	11	9	14
HIS92_RS01425	NZ_CP051858.1	271980	273395	-	1416	8	10	6	7
HIS92_RS01430	NZ_CP051858.1	273529	274347	-	819	6	9	3	6
HIS92_RS01435	NZ_CP051858.1	274672	275864	-	1193	14	9	13	5
HIS92_RS01440	NZ_CP051858.1	275861	276952	-	1092	3	8	8	3
HIS92_RS01445	NZ_CP051858.1	276979	278552	-	1574	7	9	11	10
HIS92_RS01450	NZ_CP051858.1	279242	280186	-	945	102	95	35	100
HIS92_RS01455	NZ_CP051858.1	280191	281507	-	1317	60	132	78	110
HIS92_RS01460	NZ_CP051858.1	281741	282721	-	981	52	44	17	53
HIS92_RS01465	NZ_CP051858.1	282846	284270	-	1425	39	39	14	40
HIS92_RS01470	NZ_CP051858.1	285223	286374	+	1152	160	188	44	230
HIS92_RS01475	NZ_CP051858.1	286636	286896	-	261	1	1	0	0
HIS92_RS01480	NZ_CP051858.1	287237	288460	-	1224	4	11	8	17
HIS92_RS01485	NZ_CP051858.1	288890	289129	-	240	38	23	7	35
HIS92_RS01490	NZ_CP051858.1	289269	290858	-	1590	460	1140	383	1118
HIS92_RS01495	NZ_CP051858.1	291262	292097	-	836	41	44	25	46
HIS92_RS01500	NZ_CP051858.1	292589	293233	+	645	21	28	46	25
HIS92_RS01505	NZ_CP051858.1	293387	294031	+	645	4	1	11	2
HIS92_RS01510	NZ_CP051858.1	294028	294621	+	594	9	6	25	6
HIS92_RS01515	NZ_CP051858.1	294635	296470	+	1836	51	42	135	36
HIS92_RS01520	NZ_CP051858.1	296775	297653	-	879	51	83	35	74
HIS92_RS01525	NZ_CP051858.1	297873	298316	-	444	2	1	11	3
HIS92_RS01530	NZ_CP051858.1	298774	299724	-	951	17	15	11	15
HIS92_RS01535	NZ_CP051858.1	300030	301055	-	1026	11	15	21	11
HIS92_RS01540	NZ_CP051858.1	301091	301492	-	402	1	0	4	3
HIS92_RS01545	NZ_CP051858.1	301567	301953	-	387	0	1	0	0
HIS92_RS01550	NZ_CP051858.1	302341	303879	-	1539	39	59	14	54
HIS92_RS01555	NZ_CP051858.1	304455	304820	+	366	115	183	109	162
HIS92_RS01560	NZ_CP051858.1	304908	305618	-	711	398	442	222	394
HIS92_RS01565	NZ_CP051858.1	305722	306177	-	456	64	52	14	38
HIS92_RS01570	NZ_CP051858.1	306290	307720	-	1431	196	155	68	126
HIS92_RS01575	NZ_CP051858.1	307806	308318	-	513	17	25	9	17
HIS92_RS01580	NZ_CP051858.1	308382	310988	-	2607	121	176	68	101
HIS92_RS01585	NZ_CP051858.1	310988	312520	-	1533	43	56	34	37
HIS92_RS01590	NZ_CP051858.1	313126	313488	-	363	163	263	123	200
HIS92_RS01595	NZ_CP051858.1	313844	314686	-	843	11	9	6	4
HIS92_RS01600	NZ_CP051858.1	315082	315639	+	558	79	82	19	51
HIS92_RS01605	NZ_CP051858.1	315738	316649	-	912	1550	1400	701	1125
HIS92_RS01610	NZ_CP051858.1	317021	317956	-	936	2142	2076	429	1489
HIS92_RS01615	NZ_CP051858.1	317974	318840	-	867	794	880	185	587
HIS92_RS01620	NZ_CP051858.1	318837	319586	-	750	670	728	129	609
HIS92_RS01625	NZ_CP051858.1	319955	320554	-	600	5	5	2	8
HIS92_RS01630	NZ_CP051858.1	320593	320730	-	138	0	4	0	0
HIS92_RS01635	NZ_CP051858.1	320874	321278	-	405	100	94	49	51
HIS92_RS01640	NZ_CP051858.1	321304	322344	-	1041	121	136	128	148
HIS92_RS01645	NZ_CP051858.1	322363	322800	-	438	64	51	37	37
HIS92_RS01650	NZ_CP051858.1	322861	323166	-	306	91	120	61	101
HIS92_RS01655	NZ_CP051858.1	323758	324330	-	573	10	17	14	22
HIS92_RS01660	NZ_CP051858.1	324603	325460	-	858	89	105	60	114
HIS92_RS01665	NZ_CP051858.1	325572	326798	+	1227	35	34	62	31
HIS92_RS01670	NZ_CP051858.1	326921	327829	+	909	10	8	21	13
HIS92_RS01675	NZ_CP051858.1	328029	328433	-	405	60	120	55	92
HIS92_RS01680	NZ_CP051858.1	328775	330205	+	1431	6	9	10	7
HIS92_RS01685	NZ_CP051858.1	330411	330920	-	510	12	43	12	25
HIS92_RS01690	NZ_CP051858.1	331744	332220	-	477	67	195	112	144
HIS92_RS01695	NZ_CP051858.1	332239	332673	-	435	58	92	48	92
HIS92_RS01700	NZ_CP051858.1	332670	332882	-	213	5	27	17	30
HIS92_RS01705	NZ_CP051858.1	333112	334542	+	1431	8	10	4	8
HIS92_RS01710	NZ_CP051858.1	334973	335917	-	945	191	265	77	248
HIS92_RS01715	NZ_CP051858.1	335950	336396	-	447	87	113	38	92
HIS92_RS01720	NZ_CP051858.1	336789	338645	-	1857	55	91	33	84
HIS92_RS01725	NZ_CP051858.1	338704	339270	-	567	261	302	125	369
HIS92_RS01730	NZ_CP051858.1	339646	340410	-	765	10	9	2	10
HIS92_RS01735	NZ_CP051858.1	340578	341018	+	441	45	125	29	107
HIS92_RS01740	NZ_CP051858.1	341187	342392	-	1206	14	4	1	2
HIS92_RS01745	NZ_CP051858.1	342658	344967	-	2310	2063	941	434	1167
HIS92_RS01750	NZ_CP051858.1	345079	345471	+	393	45	42	47	52
HIS92_RS01755	NZ_CP051858.1	345607	345930	+	324	14	15	5	12
