Geneid	Chr	Start	End	Strand	Length	G-t0-1	G-t0-2	G-t5-1	G-t5-2	G-t10-1	G-t10-2	G-t20-1	G-t20-2	G-t30-1	G-t30-2	G_M-t5-1	G_M-t5-2	G_M-t10-1	G_M-t10-2	G_M-t20-1	G_M-t20-2	G_M-t30-1	G_M-t30-2
HIS92_RS00075	NZ_CP051858.1	12281	13765	-	1485	12	26	16	2	17	6	14	1	8	10	14	12	14	15	11	11	9	8
HIS92_RS00080	NZ_CP051858.1	13783	14679	-	897	6	10	7	3	8	0	5	6	0	1	9	1	2	1	4	1	5	1
HIS92_RS00085	NZ_CP051858.1	14702	15643	-	942	5	2	15	8	8	4	6	6	8	3	12	5	6	1	2	3	3	4
HIS92_RS00090	NZ_CP051858.1	15640	16677	-	1038	1	1	7	5	6	6	3	1	3	2	1	1	3	3	8	2	3	4
HIS92_RS00095	NZ_CP051858.1	16674	17849	-	1176	9	3	9	1	7	4	6	0	5	1	4	1	8	4	4	1	0	1
HIS92_RS00100	NZ_CP051858.1	18030	19691	+	1662	15	32	42	29	37	35	57	17	30	29	30	31	47	21	42	20	21	23
HIS92_RS00105	NZ_CP051858.1	19800	20072	+	273	0	3	1	2	1	3	5	5	1	2	3	3	3	2	15	0	2	5
HIS92_RS00110	NZ_CP051858.1	20069	20401	+	333	3	10	7	5	8	8	3	8	5	7	2	3	9	8	4	4	6	3
HIS92_RS00115	NZ_CP051858.1	20398	21642	+	1245	14	33	20	48	42	28	38	18	10	24	24	15	35	22	40	10	15	22
HIS92_RS00120	NZ_CP051858.1	21700	22423	-	724	1007	1235	1050	731	1104	922	1226	751	1122	688	856	894	1094	791	961	1065	898	961
HIS92_RS00125	NZ_CP051858.1	22581	22889	-	309	1113	2020	821	907	864	915	986	1051	1352	933	963	1102	993	1242	746	1507	809	1413
HIS92_RS00130	NZ_CP051858.1	22877	23326	-	450	1204	1999	917	780	862	802	1015	949	1214	804	880	1031	935	1222	694	1451	804	1211
HIS92_RS00135	NZ_CP051858.1	23585	24349	+	765	275	414	328	428	484	450	541	372	331	311	345	313	494	338	480	420	259	291
HIS92_RS00140	NZ_CP051858.1	24583	25188	+	606	102	117	81	76	98	71	87	103	165	99	66	94	69	96	87	156	87	105
HIS92_RS00145	NZ_CP051858.1	25357	25581	+	225	0	0	0	0	0	3	0	2	0	0	2	1	1	0	0	0	2	2
HIS92_RS00150	NZ_CP051858.1	25622	26803	-	1182	718	541	623	461	577	506	607	570	1163	470	633	662	498	560	416	652	391	332
HIS92_RS00155	NZ_CP051858.1	27143	28765	-	1623	11	13	4	0	6	3	8	6	8	7	6	7	10	8	5	5	4	5
HIS92_RS00160	NZ_CP051858.1	28785	29786	-	1002	3	1	1	0	3	0	0	3	3	3	1	4	1	0	1	2	2	1
HIS92_RS00165	NZ_CP051858.1	29827	30888	-	1062	1	0	0	0	1	0	3	0	1	0	0	0	0	1	0	0	0	0
HIS92_RS00170	NZ_CP051858.1	31075	31401	-	327	4	0	7	5	4	1	1	2	1	0	5	2	1	4	0	2	0	2
HIS92_RS00175	NZ_CP051858.1	31662	32018	-	357	2	1	4	5	5	3	6	5	7	7	1	10	4	4	2	2	1	2
HIS92_RS00180	NZ_CP051858.1	32303	33229	+	927	7	12	11	8	3	9	17	13	10	9	12	3	6	5	7	7	8	12
HIS92_RS00185	NZ_CP051858.1	33249	33845	-	597	2	15	4	8	13	6	9	7	8	4	1	8	11	6	3	8	5	1
HIS92_RS00190	NZ_CP051858.1	33842	34333	-	492	0	5	3	2	3	5	13	2	4	1	1	4	3	1	5	10	3	1
HIS92_RS00195	NZ_CP051858.1	34866	35096	-	231	129	77	73	34	75	27	71	39	112	32	54	23	44	41	37	49	29	34
HIS92_RS00200	NZ_CP051858.1	35364	35627	-	264	5	4	4	2	7	8	2	1	1	3	0	0	6	10	3	0	3	0
HIS92_RS00205	NZ_CP051858.1	35753	36313	-	561	6	14	10	8	10	17	12	15	7	6	4	12	12	8	9	12	4	7
HIS92_RS00210	NZ_CP051858.1	36416	37177	-	762	218	158	167	166	159	182	215	143	239	148	175	148	149	108	133	180	101	89
HIS92_RS00215	NZ_CP051858.1	37405	39144	-	1740	14	9	21	15	20	17	21	11	18	15	9	17	16	6	28	14	12	12
HIS92_RS00220	NZ_CP051858.1	39475	40317	-	843	655	373	471	185	429	278	448	238	736	212	361	259	393	254	301	382	299	223
HIS92_RS00225	NZ_CP051858.1	40507	41883	-	1377	30	15	28	32	30	38	31	32	37	30	30	29	23	32	20	25	23	33
HIS92_RS00230	NZ_CP051858.1	41876	42523	-	648	9	4	16	12	20	10	11	9	14	6	5	7	17	18	8	7	7	7
HIS92_RS00235	NZ_CP051858.1	42645	43061	+	417	0	0	0	0	0	2	0	0	0	0	2	2	1	0	0	0	0	0
HIS92_RS00240	NZ_CP051858.1	43260	43754	-	495	1	4	0	0	0	0	2	0	0	2	1	5	0	2	0	0	0	0
HIS92_RS00245	NZ_CP051858.1	43779	45179	-	1401	3	7	9	8	7	6	10	11	5	7	4	8	7	10	6	8	3	3
HIS92_RS00250	NZ_CP051858.1	45197	45946	-	750	2	5	5	5	8	4	3	4	1	1	0	5	4	2	8	4	5	2
HIS92_RS00255	NZ_CP051858.1	45959	47548	-	1590	5	5	6	8	11	7	15	7	6	7	5	10	8	6	6	6	3	6
HIS92_RS00260	NZ_CP051858.1	47838	48698	-	861	245	382	429	384	523	491	626	343	288	409	335	285	586	306	547	422	425	387
HIS92_RS00265	NZ_CP051858.1	49159	49611	-	453	8	2	9	1	9	3	2	1	5	7	9	9	7	1	0	4	2	5
HIS92_RS00270	NZ_CP051858.1	49626	49826	-	201	2	0	0	1	3	0	0	1	2	0	1	0	0	0	1	0	2	0
HIS92_RS00275	NZ_CP051858.1	50194	50742	-	549	4	2	4	0	3	1	4	4	4	1	8	0	1	3	1	4	0	4
HIS92_RS00280	NZ_CP051858.1	51400	51831	+	432	27	17	23	21	21	33	40	23	22	19	14	13	19	21	30	23	24	14
HIS92_RS00285	NZ_CP051858.1	52185	52955	-	771	137	76	114	55	71	63	94	82	276	93	137	100	106	75	68	175	61	74
HIS92_RS00290	NZ_CP051858.1	53212	53991	-	780	14	14	9	3	11	14	13	5	14	4	10	5	10	18	6	5	7	10
HIS92_RS00295	NZ_CP051858.1	54244	54564	+	321	2672	1612	2395	1262	1473	1137	1940	1095	4150	1090	1832	984	1280	1198	1115	2611	1456	1463
HIS92_RS00300	NZ_CP051858.1	54619	56154	-	1536	330	365	374	338	397	328	401	467	433	427	320	330	352	287	329	416	269	380
HIS92_RS00305	NZ_CP051858.1	56178	56885	-	708	118	132	177	87	166	129	115	142	186	169	118	126	154	114	90	170	93	126
HIS92_RS00310	NZ_CP051858.1	56904	57614	-	711	26	40	65	27	47	27	44	42	36	40	31	32	66	19	34	41	38	30
HIS92_RS00315	NZ_CP051858.1	57628	58251	-	624	38	60	73	58	84	63	89	64	72	68	56	59	71	47	45	59	55	54
HIS92_RS00320	NZ_CP051858.1	58412	60148	-	1737	17	8	20	20	19	12	24	13	10	15	9	19	16	21	11	17	17	5
HIS92_RS00325	NZ_CP051858.1	60250	61464	+	1215	5	3	6	7	5	7	2	8	5	9	2	5	2	10	5	17	2	6
HIS92_RS00330	NZ_CP051858.1	61615	62286	-	672	0	1	5	1	1	1	2	0	0	2	0	3	1	3	1	1	0	0
HIS92_RS00335	NZ_CP051858.1	62310	62480	-	171	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0
HIS92_RS00340	NZ_CP051858.1	62621	62767	-	147	15	10	10	9	10	11	5	12	16	4	15	4	20	3	22	5	2	18
HIS92_RS00345	NZ_CP051858.1	63028	63423	-	396	1669	1110	1087	880	990	774	1120	733	2369	664	1195	692	875	759	912	2147	1172	1624
HIS92_RS00350	NZ_CP051858.1	63503	63745	-	243	5	3	8	4	1	2	2	0	13	5	4	2	10	2	3	10	2	5
HIS92_RS00355	NZ_CP051858.1	63924	64889	-	966	10	8	12	7	8	10	7	7	8	7	9	22	19	15	8	7	7	15
HIS92_RS00360	NZ_CP051858.1	64967	65155	-	189	22	8	29	8	16	9	4	6	25	5	7	13	7	15	4	17	8	6
HIS92_RS00365	NZ_CP051858.1	65225	66010	-	786	7	5	4	6	6	4	14	1	7	11	2	15	7	15	2	6	9	9
HIS92_RS00370	NZ_CP051858.1	66206	66574	-	369	2	5	2	6	0	5	7	4	7	5	4	7	7	7	7	10	4	13
HIS92_RS00375	NZ_CP051858.1	67051	67203	+	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS00380	NZ_CP051858.1	67373	67807	+	435	4	3	3	6	0	6	2	9	4	2	1	3	0	0	5	8	2	0
HIS92_RS00385	NZ_CP051858.1	68102	69304	+	1203	237	426	296	433	351	408	453	456	401	395	276	530	336	460	581	819	558	1151
HIS92_RS00390	NZ_CP051858.1	69458	69757	+	300	0	4	3	9	5	7	13	10	5	3	1	14	5	5	2	13	10	11
HIS92_RS00395	NZ_CP051858.1	69927	70289	+	363	10	2	2	4	0	2	6	2	6	5	5	1	3	1	1	3	7	6
HIS92_RS00400	NZ_CP051858.1	70584	71783	+	1200	94	199	171	198	227	219	307	165	131	159	129	131	213	127	180	145	118	83
HIS92_RS00405	NZ_CP051858.1	71840	72238	+	399	8	15	7	19	18	11	20	16	8	7	6	15	9	15	12	11	4	9
HIS92_RS00410	NZ_CP051858.1	72323	73144	+	822	13	7	17	28	22	24	26	13	10	21	14	10	15	11	25	16	8	16
HIS92_RS00415	NZ_CP051858.1	73159	73368	-	210	4	2	0	0	0	0	2	0	0	0	0	1	0	1	1	2	2	0
HIS92_RS00420	NZ_CP051858.1	73426	74019	-	594	1	2	1	1	2	3	1	0	4	1	3	5	2	0	3	1	0	1
HIS92_RS00425	NZ_CP051858.1	74462	74602	+	141	20	18	20	14	19	10	14	16	13	4	12	11	13	17	11	19	14	12
HIS92_RS00430	NZ_CP051858.1	74630	74773	+	144	8	4	9	14	6	5	13	4	13	4	11	5	5	4	13	13	4	1
HIS92_RS00435	NZ_CP051858.1	74802	74945	+	144	2	2	6	1	2	4	3	2	5	3	4	0	2	3	2	2	1	0
HIS92_RS00440	NZ_CP051858.1	74972	75112	+	141	5	4	3	4	2	4	2	1	4	3	7	4	4	8	5	7	3	7
HIS92_RS00445	NZ_CP051858.1	75140	75280	+	141	5	7	17	10	10	2	10	6	17	7	8	6	9	5	10	5	11	5
HIS92_RS00450	NZ_CP051858.1	75521	76606	-	1086	746	1208	824	1310	914	1045	1098	1349	1094	1093	873	1085	856	1097	937	1529	721	1404
HIS92_RS00455	NZ_CP051858.1	76756	77577	+	822	162	321	319	424	464	461	505	360	222	359	240	353	497	270	432	357	269	308
HIS92_RS00460	NZ_CP051858.1	78094	79206	-	1113	3	1	2	1	4	5	4	1	2	2	1	3	0	1	4	2	3	0
HIS92_RS00465	NZ_CP051858.1	79283	80131	-	849	3	0	1	2	1	5	0	0	1	0	1	2	2	2	0	2	0	0
HIS92_RS00470	NZ_CP051858.1	80148	81134	-	987	4	0	7	8	0	0	1	0	2	1	1	5	4	1	1	0	2	0
HIS92_RS00475	NZ_CP051858.1	81152	81907	-	756	2	2	1	0	1	1	0	0	1	0	1	1	1	4	0	2	0	0
HIS92_RS00480	NZ_CP051858.1	82089	82601	-	513	15	18	6	7	23	16	19	14	29	20	11	12	6	9	16	22	11	12
HIS92_RS00485	NZ_CP051858.1	82775	83830	-	1056	26	57	51	81	92	85	105	77	47	72	33	52	87	38	89	63	52	55
HIS92_RS00490	NZ_CP051858.1	83843	84316	-	474	29	45	42	49	53	62	47	18	19	33	31	29	49	39	30	40	28	22
HIS92_RS00495	NZ_CP051858.1	84458	85147	-	690	18	50	58	30	59	66	82	55	38	39	23	44	65	48	56	34	30	16
HIS92_RS00500	NZ_CP051858.1	85163	85960	-	798	27	34	52	41	54	58	49	48	46	35	28	31	52	30	50	48	40	20
HIS92_RS00505	NZ_CP051858.1	86197	86598	-	402	2	4	10	9	12	9	12	3	8	10	11	13	12	6	16	13	3	5
HIS92_RS00510	NZ_CP051858.1	86655	87593	-	939	156	195	155	158	187	191	222	183	215	200	149	176	183	170	140	229	124	140
HIS92_RS00515	NZ_CP051858.1	87664	88185	-	522	0	3	1	15	11	10	3	13	1	5	4	6	6	6	6	4	5	3
HIS92_RS00520	NZ_CP051858.1	88201	88701	-	501	9	12	1	7	6	20	6	5	4	5	9	3	5	4	5	4	2	6
HIS92_RS00525	NZ_CP051858.1	88735	89280	-	546	5	12	15	6	15	13	15	13	11	13	8	17	7	11	6	17	9	4
HIS92_RS00530	NZ_CP051858.1	89296	89997	-	702	4	9	22	13	15	19	17	12	9	5	7	11	18	20	7	10	7	2
HIS92_RS00535	NZ_CP051858.1	90014	90697	-	684	9	18	13	24	19	23	27	16	8	14	9	16	22	12	18	28	14	5
HIS92_RS00540	NZ_CP051858.1	90896	91843	-	948	3	13	1	6	4	11	4	5	3	6	1	3	1	3	5	0	0	7
HIS92_RS00545	NZ_CP051858.1	92018	92407	-	390	20	53	10	36	6	36	20	25	17	22	10	35	11	29	20	34	15	26
HIS92_RS00550	NZ_CP051858.1	92596	93417	-	822	7	36	5	19	4	18	8	18	10	7	7	22	11	13	5	22	4	15
HIS92_RS00555	NZ_CP051858.1	94125	94355	-	231	0	3	11	3	7	7	10	5	7	0	2	6	6	7	8	12	1	5
HIS92_RS00560	NZ_CP051858.1	94573	95400	+	828	1837	3253	1770	2358	1974	2275	2202	2193	2060	2079	1498	2454	1927	2203	1550	2693	1350	2278
HIS92_RS00565	NZ_CP051858.1	95442	95867	-	426	25	17	47	41	58	54	56	46	44	33	31	36	60	37	66	77	48	72
HIS92_RS00570	NZ_CP051858.1	96022	96483	-	462	1	5	4	3	7	3	9	6	4	3	1	5	2	0	4	7	3	8
HIS92_RS00575	NZ_CP051858.1	96526	96750	+	225	1	0	1	1	0	0	5	1	0	1	0	1	0	3	0	0	0	0
HIS92_RS00580	NZ_CP051858.1	96932	97603	+	672	2	3	2	1	1	3	3	0	3	2	0	4	7	4	3	3	2	1
HIS92_RS00585	NZ_CP051858.1	97659	99632	-	1974	1908	3458	2485	3397	2806	2819	3465	3130	3789	2736	2353	3046	2759	2615	2772	3584	2420	3265
HIS92_RS00590	NZ_CP051858.1	100150	101775	-	1626	2829	6024	4998	6291	7539	6167	8786	4626	3260	4795	4299	3111	7561	2999	7625	4632	4374	3663
HIS92_RS00595	NZ_CP051858.1	102088	105204	-	3117	28	29	53	34	34	27	49	20	23	26	92	5780	101	2111	62	281	27	92
HIS92_RS00600	NZ_CP051858.1	105457	106023	-	567	618	512	445	397	507	489	530	439	529	468	582	1822	706	854	511	1040	459	703
HIS92_RS00605	NZ_CP051858.1	106253	107413	-	1161	33	20	35	35	29	23	40	11	24	21	20	26	44	18	31	33	17	18
HIS92_RS00610	NZ_CP051858.1	107539	108828	-	1290	294	592	448	666	641	632	808	385	317	466	374	322	670	337	646	475	462	386
HIS92_RS00615	NZ_CP051858.1	108846	109946	-	1101	175	323	324	337	408	350	451	198	209	272	193	208	448	198	319	263	325	193
HIS92_RS00620	NZ_CP051858.1	109939	111039	-	1101	63	186	196	207	261	232	378	134	123	143	154	72	297	76	236	98	202	71
HIS92_RS00625	NZ_CP051858.1	111058	112230	-	1173	64	135	204	137	237	168	300	110	125	108	151	74	275	65	201	90	205	69
HIS92_RS00630	NZ_CP051858.1	112513	113589	-	1077	392	683	972	956	1247	987	1658	604	572	713	688	489	1235	447	1241	587	863	429
HIS92_RS00635	NZ_CP051858.1	114419	117901	-	3483	121	150	200	215	300	227	345	166	168	182	167	133	253	146	225	162	181	148
HIS92_RS00640	NZ_CP051858.1	118083	118520	+	438	1	1	0	2	0	0	1	0	0	1	1	7	0	0	0	1	0	1
HIS92_RS00645	NZ_CP051858.1	118670	119200	-	531	26	39	31	36	26	47	41	38	25	31	27	51	36	35	25	53	30	23
HIS92_RS00650	NZ_CP051858.1	119243	119782	-	540	35	68	32	46	28	67	36	32	28	36	31	31	32	37	25	38	15	38
HIS92_RS00655	NZ_CP051858.1	119795	120100	-	306	9	11	11	12	3	14	24	5	11	8	10	17	5	11	4	16	6	6
HIS92_RS00660	NZ_CP051858.1	120201	120719	+	519	1	11	7	8	22	13	12	8	17	12	5	18	4	1	12	12	5	4
HIS92_RS00665	NZ_CP051858.1	121088	122725	-	1638	9869	14632	15672	7347	13698	12220	12950	14698	16737	13784	10480	17392	13549	16100	7583	15335	9086	8836
HIS92_RS00670	NZ_CP051858.1	122938	123429	-	492	15	5	11	3	13	18	10	12	17	16	15	10	9	9	18	16	6	17
HIS92_RS00675	NZ_CP051858.1	123862	124344	+	483	28	65	48	92	67	76	58	44	49	75	54	37	72	36	77	54	37	44
HIS92_RS00680	NZ_CP051858.1	124466	124816	+	351	17	29	18	25	32	19	21	24	32	24	20	19	37	11	30	36	17	23
HIS92_RS00685	NZ_CP051858.1	124951	125996	-	1046	7	8	10	1	2	2	8	1	2	2	0	8	6	3	12	3	4	5
HIS92_RS00690	NZ_CP051858.1	126373	127875	+	1503	233	523	441	408	535	556	673	394	285	422	346	387	642	310	501	322	354	286
HIS92_RS00695	NZ_CP051858.1	127921	128964	-	1044	3	7	6	7	6	7	15	9	3	2	7	6	12	3	3	9	4	8
HIS92_RS00700	NZ_CP051858.1	128961	129950	-	990	2	4	4	7	8	2	10	2	4	2	14	5	6	6	6	9	2	14
HIS92_RS00705	NZ_CP051858.1	129947	130900	-	954	3	2	4	0	2	1	2	3	5	1	2	5	1	0	2	3	6	6
HIS92_RS00710	NZ_CP051858.1	130897	132378	-	1482	1	3	2	2	2	2	5	2	0	1	2	3	2	5	2	2	2	2
HIS92_RS00715	NZ_CP051858.1	132558	133508	+	951	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
HIS92_RS00720	NZ_CP051858.1	133508	135070	+	1563	0	3	2	0	0	0	4	2	2	0	1	0	2	0	1	0	1	4
HIS92_RS00725	NZ_CP051858.1	135097	135459	+	363	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2
HIS92_RS00730	NZ_CP051858.1	135466	136248	+	783	0	3	2	0	2	1	0	1	0	3	0	0	0	4	2	0	1	3
HIS92_RS00735	NZ_CP051858.1	136314	136919	+	606	23	72	47	76	67	58	55	63	39	74	33	59	61	50	54	65	38	39
HIS92_RS00740	NZ_CP051858.1	137024	137443	-	420	10	14	22	12	9	7	29	12	7	9	17	4	20	15	11	17	9	12
HIS92_RS00745	NZ_CP051858.1	137677	138003	-	327	49	64	52	42	48	32	47	23	52	38	25	23	37	22	42	40	48	43
HIS92_RS00750	NZ_CP051858.1	138100	139320	-	1221	3	33	24	22	18	26	27	20	7	6	16	27	16	21	10	24	19	24
HIS92_RS00755	NZ_CP051858.1	139372	140412	-	1041	24	36	42	26	45	47	42	25	28	27	25	33	39	40	23	31	23	23
HIS92_RS00760	NZ_CP051858.1	140578	141771	+	1194	1	0	1	1	3	4	3	1	2	1	2	5	2	5	3	1	2	3
HIS92_RS00765	NZ_CP051858.1	141828	143075	-	1248	381	421	716	474	994	547	972	351	347	390	450	335	903	263	647	357	430	257
HIS92_RS00770	NZ_CP051858.1	143092	144195	-	1104	109	180	382	187	404	245	433	176	142	155	182	157	372	122	225	150	202	99
HIS92_RS00775	NZ_CP051858.1	144885	145703	+	819	267	206	329	273	409	266	455	190	287	240	332	175	456	146	352	190	246	130
HIS92_RS00780	NZ_CP051858.1	145882	147546	-	1665	14	15	18	16	21	18	31	14	9	15	9	10	19	9	20	8	20	17
HIS92_RS00785	NZ_CP051858.1	147599	148348	-	750	0	5	6	0	15	3	7	5	3	6	3	0	9	1	12	14	9	2
HIS92_RS00790	NZ_CP051858.1	148616	150040	+	1425	3	5	9	5	6	7	6	11	12	10	8	5	6	14	9	5	6	3
HIS92_RS00795	NZ_CP051858.1	150380	150727	+	348	68	33	56	68	51	70	70	57	72	45	35	40	52	37	41	73	37	32
HIS92_RS00800	NZ_CP051858.1	150927	151886	-	960	20	49	17	20	13	20	17	8	9	17	8	10	25	12	14	9	8	18
HIS92_RS00805	NZ_CP051858.1	151899	152113	-	215	9	19	5	3	5	2	6	4	3	2	4	4	3	4	1	4	0	5
HIS92_RS00810	NZ_CP051858.1	152388	153419	-	1032	6749	10822	2778	3354	2898	2886	3155	3188	4639	3540	2377	3152	2860	3846	1753	2919	2389	4863
HIS92_RS00815	NZ_CP051858.1	153726	156113	-	2388	22	32	38	24	24	34	34	28	21	38	27	35	32	36	26	36	22	25
HIS92_RS00820	NZ_CP051858.1	156403	157233	-	831	3	1	2	6	2	2	6	3	4	1	0	2	2	1	3	0	3	2
HIS92_RS00825	NZ_CP051858.1	157720	159393	-	1674	5	9	12	5	15	13	14	9	20	6	14	17	7	8	12	12	8	9
HIS92_RS00830	NZ_CP051858.1	159687	160169	+	483	134	83	106	105	97	93	63	120	184	104	92	83	99	131	89	135	83	115
HIS92_RS00835	NZ_CP051858.1	160180	160395	+	216	60	45	41	37	43	43	57	57	70	58	59	51	60	49	44	61	44	43
HIS92_RS00840	NZ_CP051858.1	160436	160747	-	312	5	12	9	9	9	8	25	15	20	5	11	7	9	1	15	12	12	11
HIS92_RS00845	NZ_CP051858.1	161020	161598	-	579	22	19	8	23	21	32	29	25	37	13	9	22	17	20	12	28	12	11
HIS92_RS00850	NZ_CP051858.1	161622	162203	-	582	19	58	24	38	38	53	45	30	21	34	22	41	42	37	21	47	9	13
HIS92_RS00855	NZ_CP051858.1	162203	162745	-	543	6	31	24	20	19	40	19	19	7	18	7	15	14	31	17	22	15	5
HIS92_RS00860	NZ_CP051858.1	162760	163143	-	384	1	4	4	7	8	5	10	5	2	4	3	9	8	5	8	11	3	8
HIS92_RS00865	NZ_CP051858.1	163425	163670	+	246	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
HIS92_RS00870	NZ_CP051858.1	164215	164742	-	528	169	70	183	92	173	83	195	75	171	96	123	79	173	75	154	103	86	72
HIS92_RS00875	NZ_CP051858.1	164750	165067	-	318	51	23	54	16	41	26	49	18	39	34	25	20	49	25	33	21	15	13
HIS92_RS00880	NZ_CP051858.1	165274	166203	+	930	139	389	269	360	286	362	301	293	210	280	175	360	263	295	244	344	161	278
HIS92_RS00885	NZ_CP051858.1	166200	167366	+	1167	129	353	213	362	292	291	287	292	214	243	156	304	306	286	225	300	140	300
HIS92_RS00890	NZ_CP051858.1	167338	168447	+	1110	89	190	123	242	147	197	187	170	123	168	97	176	182	151	167	174	96	185
HIS92_RS00895	NZ_CP051858.1	168636	169484	-	849	46	66	33	45	32	53	32	44	28	49	27	64	49	47	38	53	19	42
HIS92_RS00900	NZ_CP051858.1	170138	171595	-	1458	4721	5369	1446	1356	1681	1126	2282	1349	2983	1513	1292	1168	1738	1255	2006	2586	2262	3707
HIS92_RS00905	NZ_CP051858.1	171834	173051	-	1218	5	7	8	5	6	7	4	3	6	3	2	4	7	6	4	5	3	9
HIS92_RS00910	NZ_CP051858.1	173353	174732	+	1380	2	9	5	6	5	3	6	10	4	1	2	8	6	1	3	8	5	5
HIS92_RS00915	NZ_CP051858.1	174858	175379	-	522	0	1	3	0	1	3	1	2	0	0	4	0	0	4	2	0	6	0
HIS92_RS00920	NZ_CP051858.1	175493	177247	-	1755	43	42	28	24	39	35	47	23	35	26	19	16	49	25	41	24	28	31
HIS92_RS00925	NZ_CP051858.1	177591	178757	-	1167	7	11	8	13	11	7	21	12	10	15	3	7	10	12	7	16	6	10
HIS92_RS00930	NZ_CP051858.1	179010	179516	-	507	54	46	61	51	65	46	73	55	62	51	66	50	65	40	64	68	34	41
HIS92_RS00935	NZ_CP051858.1	179700	179873	-	174	7	10	14	11	25	18	17	16	20	10	17	14	14	15	12	14	14	6
HIS92_RS00940	NZ_CP051858.1	180009	180506	-	498	66	78	101	93	95	92	108	91	54	91	67	66	117	65	81	82	79	58
HIS92_RS00945	NZ_CP051858.1	180512	181005	-	494	20	56	36	47	82	62	72	43	40	48	42	47	70	44	52	60	38	34
HIS92_RS00950	NZ_CP051858.1	181489	182124	-	636	20	43	35	44	32	45	52	44	29	30	28	18	39	33	30	29	29	28
HIS92_RS00955	NZ_CP051858.1	182121	182483	-	363	15	49	27	40	62	46	51	36	27	37	28	36	38	29	38	41	20	22
HIS92_RS00960	NZ_CP051858.1	182524	182799	-	276	4	9	5	6	5	7	16	8	9	3	8	8	5	2	4	1	7	1
HIS92_RS00965	NZ_CP051858.1	183012	183305	-	294	68	32	52	57	69	47	80	37	66	37	44	18	70	21	80	57	44	48
HIS92_RS00970	NZ_CP051858.1	183352	183990	-	639	198	175	178	172	203	169	234	152	185	126	146	97	247	95	239	203	215	171
HIS92_RS00975	NZ_CP051858.1	184009	184437	-	429	104	70	109	89	136	69	111	62	122	79	68	66	108	48	111	93	116	84
HIS92_RS00980	NZ_CP051858.1	184702	186645	+	1944	75	117	161	132	176	138	205	96	122	123	103	128	183	108	178	109	145	83
HIS92_RS00985	NZ_CP051858.1	186692	187357	-	666	4	10	6	7	6	7	14	5	17	13	19	9	8	5	8	5	8	5
HIS92_RS00990	NZ_CP051858.1	187358	187825	-	468	2	2	1	1	2	0	2	0	1	1	1	5	1	5	0	1	2	0
HIS92_RS00995	NZ_CP051858.1	188019	188810	+	792	79	120	129	93	134	105	130	87	104	88	95	86	143	75	98	106	70	83
HIS92_RS01000	NZ_CP051858.1	188870	189907	-	1038	3	4	4	2	13	14	8	6	9	7	8	12	16	6	11	13	6	9
