Geneid	Chr	Start	End	Strand	Length	B1-t0-1	B2-t0-2	B3-t0-3	G1-t0-1	G2-t0-2	G3-t0-3	B1M-t0-1	B2M-t0-2	B3M-t0-3	G1M-t0-1	G2M-t0-2	G3M-t0-3
HIS92_RS00450	NZ_CP051858.1	75521	76606	-	1086	1571	1244	1878	1604	1390	1790	822	1099	1427	927	1259	1010
HIS92_RS00455	NZ_CP051858.1	76756	77577	+	822	819	689	777	696	642	688	330	523	512	323	363	215
HIS92_RS00460	NZ_CP051858.1	78094	79206	-	1113	3	1	5	2	5	1	10	4	5	4	2	0
HIS92_RS00465	NZ_CP051858.1	79283	80131	-	849	1	1	0	0	1	0	0	3	2	3	0	2
HIS92_RS00470	NZ_CP051858.1	80148	81134	-	987	0	0	1	1	0	0	0	3	0	0	0	0
HIS92_RS00475	NZ_CP051858.1	81152	81907	-	756	0	1	0	0	0	0	0	0	0	2	0	0
HIS92_RS00480	NZ_CP051858.1	82089	82601	-	513	19	25	39	23	25	32	9	12	17	11	22	10
HIS92_RS00485	NZ_CP051858.1	82775	83830	-	1056	62	50	71	85	85	97	136	88	67	74	80	71
HIS92_RS00490	NZ_CP051858.1	83843	84316	-	474	29	29	32	42	55	66	53	44	40	43	48	46
HIS92_RS00495	NZ_CP051858.1	84458	85147	-	690	19	19	38	52	43	53	69	42	30	53	26	33
HIS92_RS00500	NZ_CP051858.1	85163	85960	-	798	39	36	32	42	47	62	61	39	37	37	39	36
HIS92_RS00505	NZ_CP051858.1	86197	86598	-	402	7	6	4	2	2	8	1	1	1	0	3	1
HIS92_RS00510	NZ_CP051858.1	86655	87593	-	939	179	138	240	227	206	246	133	156	174	156	130	109
HIS92_RS00515	NZ_CP051858.1	87664	88185	-	522	4	1	2	10	0	3	7	4	5	3	3	2
HIS92_RS00520	NZ_CP051858.1	88201	88701	-	501	5	1	2	5	6	6	9	2	3	7	3	1
HIS92_RS00525	NZ_CP051858.1	88735	89280	-	546	4	2	5	2	2	2	4	3	0	6	6	2
HIS92_RS00530	NZ_CP051858.1	89296	89997	-	702	2	3	3	3	2	4	6	0	1	5	0	1
HIS92_RS00535	NZ_CP051858.1	90014	90697	-	684	21	12	22	27	21	24	19	7	7	19	8	15
HIS92_RS00540	NZ_CP051858.1	90896	91843	-	948	0	3	2	1	0	1	2	0	0	8	0	4
HIS92_RS00545	NZ_CP051858.1	92018	92407	-	390	9	12	15	4	7	23	6	15	14	9	9	9
HIS92_RS00550	NZ_CP051858.1	92596	93417	-	822	5	13	5	4	20	16	4	3	9	12	6	6
HIS92_RS00555	NZ_CP051858.1	94125	94355	-	231	9	2	13	2	4	4	8	4	18	11	10	7
HIS92_RS00560	NZ_CP051858.1	94573	95400	+	828	2761	2393	3586	3167	2817	3514	1462	2134	2329	1889	1984	1452
HIS92_RS00565	NZ_CP051858.1	95442	95867	-	426	57	45	54	56	52	73	57	89	123	54	79	41
HIS92_RS00570	NZ_CP051858.1	96022	96483	-	462	13	0	4	0	7	13	5	7	8	5	4	3
HIS92_RS00575	NZ_CP051858.1	96526	96750	+	225	1	0	0	0	0	0	0	0	0	0	0	3
HIS92_RS00580	NZ_CP051858.1	96932	97603	+	672	1	0	4	3	2	2	3	3	7	2	0	0
HIS92_RS00585	NZ_CP051858.1	97659	99632	-	1974	5089	4910	6916	5081	4705	5120	4032	5252	6419	2947	3761	2395
HIS92_RS00590	NZ_CP051858.1	100150	101775	-	1626	13725	11661	17149	13873	11881	15593	6180	9272	11099	6288	7638	4950
HIS92_RS00595	NZ_CP051858.1	102088	105204	-	3117	10	45	170	55	37	265	931	467	1678	702	704	2094
HIS92_RS00600	NZ_CP051858.1	105457	106023	-	567	499	741	1269	929	726	1084	713	960	1096	968	1063	913
HIS92_RS00605	NZ_CP051858.1	106253	107413	-	1161	58	58	52	59	88	66	63	57	55	59	42	39
HIS92_RS00610	NZ_CP051858.1	107539	108828	-	1290	1336	1025	1570	1366	1344	1692	1555	1670	1790	1250	1430	1160
HIS92_RS00615	NZ_CP051858.1	108846	109946	-	1101	609	455	640	639	606	670	897	954	920	535	684	574
HIS92_RS00620	NZ_CP051858.1	109939	111039	-	1101	402	346	352	328	358	496	965	647	636	373	381	389
HIS92_RS00625	NZ_CP051858.1	111058	112230	-	1173	453	351	452	487	443	573	940	918	853	377	477	423
HIS92_RS00630	NZ_CP051858.1	112513	113589	-	1077	3743	3114	4361	3432	3650	3807	2844	3839	4272	2229	2647	2240
HIS92_RS00635	NZ_CP051858.1	114419	117901	-	3483	391	370	331	535	572	452	459	561	412	617	521	349
HIS92_RS00640	NZ_CP051858.1	118083	118520	+	438	5	0	1	2	1	0	0	0	4	3	2	1
HIS92_RS00645	NZ_CP051858.1	118670	119200	-	531	34	20	38	42	35	41	71	44	49	61	54	37
HIS92_RS00650	NZ_CP051858.1	119243	119782	-	540	14	9	15	13	14	35	25	8	21	16	6	11
HIS92_RS00655	NZ_CP051858.1	119795	120100	-	306	4	5	10	16	8	7	3	5	11	6	8	1
HIS92_RS00660	NZ_CP051858.1	120201	120719	+	519	11	18	19	39	27	31	5	9	6	22	14	13
HIS92_RS00665	NZ_CP051858.1	121088	122725	-	1638	1050	988	1458	941	1481	2190	5862	1512	1860	1296	1150	1178
HIS92_RS00670	NZ_CP051858.1	122938	123429	-	492	3	0	13	1	2	1	34	3	18	3	5	3
HIS92_RS00675	NZ_CP051858.1	123862	124344	+	483	161	154	152	178	191	149	101	101	110	124	143	110
HIS92_RS00680	NZ_CP051858.1	124466	124816	+	351	41	37	40	45	61	50	13	20	36	28	41	37
HIS92_RS00685	NZ_CP051858.1	124951	125996	-	1046	22	12	2	13	9	20	8	20	8	9	8	11
HIS92_RS00690	NZ_CP051858.1	126373	127875	+	1503	1654	1182	933	1528	1562	1453	2227	1994	1234	1303	1338	960
HIS92_RS00695	NZ_CP051858.1	127921	128964	-	1044	4	2	2	2	4	5	8	5	0	6	2	1
HIS92_RS00700	NZ_CP051858.1	128961	129950	-	990	4	0	1	5	0	14	9	2	7	1	4	3
HIS92_RS00705	NZ_CP051858.1	129947	130900	-	954	0	2	2	3	5	1	8	5	4	0	1	2
HIS92_RS00710	NZ_CP051858.1	130897	132378	-	1482	0	2	1	5	2	8	5	4	5	2	1	0
HIS92_RS00715	NZ_CP051858.1	132558	133508	+	951	0	0	1	1	0	0	0	0	3	0	0	0
HIS92_RS00720	NZ_CP051858.1	133508	135070	+	1563	0	0	2	2	2	0	1	1	1	1	2	0
HIS92_RS00725	NZ_CP051858.1	135097	135459	+	363	0	0	0	0	0	0	0	0	1	0	1	0
HIS92_RS00730	NZ_CP051858.1	135466	136248	+	783	0	5	2	1	2	2	0	0	2	1	0	0
HIS92_RS00735	NZ_CP051858.1	136314	136919	+	606	154	87	168	175	133	152	114	143	118	119	125	83
HIS92_RS00740	NZ_CP051858.1	137024	137443	-	420	41	38	44	59	69	42	95	99	65	66	49	40
HIS92_RS00745	NZ_CP051858.1	137677	138003	-	327	685	686	521	714	831	569	637	1257	949	922	730	473
HIS92_RS00750	NZ_CP051858.1	138100	139320	-	1221	5	2	8	7	10	7	26	1	14	7	2	2
HIS92_RS00755	NZ_CP051858.1	139372	140412	-	1041	18	12	18	15	27	22	37	13	21	4	6	8
HIS92_RS00760	NZ_CP051858.1	140578	141771	+	1194	4	1	0	4	7	0	1	2	0	0	3	2
HIS92_RS00765	NZ_CP051858.1	141828	143075	-	1248	704	495	987	678	582	701	386	449	624	267	356	264
HIS92_RS00770	NZ_CP051858.1	143092	144195	-	1104	272	215	409	256	258	310	149	184	301	114	131	113
HIS92_RS00775	NZ_CP051858.1	144885	145703	+	819	463	363	1029	578	459	615	81	155	315	111	117	108
HIS92_RS00780	NZ_CP051858.1	145882	147546	-	1665	46	29	21	15	29	17	21	28	29	13	7	9
HIS92_RS00785	NZ_CP051858.1	147599	148348	-	750	18	8	14	22	19	14	14	8	9	2	5	3
HIS92_RS00790	NZ_CP051858.1	148616	150040	+	1425	10	7	12	14	7	10	15	13	15	5	4	5
HIS92_RS00795	NZ_CP051858.1	150380	150727	+	348	89	65	60	91	82	75	50	53	49	26	32	14
HIS92_RS00800	NZ_CP051858.1	150927	151886	-	960	21	23	24	36	33	33	37	47	53	34	43	44
HIS92_RS00805	NZ_CP051858.1	151899	152113	-	215	13	8	16	3	15	21	5	11	9	11	9	17
HIS92_RS00810	NZ_CP051858.1	152388	153419	-	1032	5285	5470	7938	6756	6094	5834	3480	4888	5435	5446	4725	4832
HIS92_RS00815	NZ_CP051858.1	153726	156113	-	2388	27	19	22	28	33	36	30	19	12	11	14	13
HIS92_RS00820	NZ_CP051858.1	156403	157233	-	831	8	2	2	12	2	1	5	1	4	4	7	0
HIS92_RS00825	NZ_CP051858.1	157720	159393	-	1674	4	7	11	19	10	18	9	18	17	11	12	11
HIS92_RS00830	NZ_CP051858.1	159687	160169	+	483	141	142	304	186	193	195	57	83	104	87	97	100
HIS92_RS00835	NZ_CP051858.1	160180	160395	+	216	42	54	89	63	75	75	27	47	44	65	39	30
HIS92_RS00840	NZ_CP051858.1	160436	160747	-	312	33	11	32	41	27	32	11	10	15	31	15	13
HIS92_RS00845	NZ_CP051858.1	161020	161598	-	579	30	22	13	21	22	24	18	12	8	26	17	17
HIS92_RS00850	NZ_CP051858.1	161622	162203	-	582	22	16	13	19	25	37	16	22	20	45	16	9
HIS92_RS00855	NZ_CP051858.1	162203	162745	-	543	29	8	11	11	23	29	18	10	21	19	25	4
HIS92_RS00860	NZ_CP051858.1	162760	163143	-	384	6	6	7	9	6	12	8	11	4	7	9	9
HIS92_RS00865	NZ_CP051858.1	163425	163670	+	246	3	0	0	2	0	1	0	1	2	1	6	0
HIS92_RS00870	NZ_CP051858.1	164215	164742	-	528	110	106	105	156	144	179	38	72	49	78	56	52
HIS92_RS00875	NZ_CP051858.1	164750	165067	-	318	75	68	89	102	95	137	17	50	35	48	38	28
HIS92_RS00880	NZ_CP051858.1	165274	166203	+	930	280	212	317	401	403	413	177	242	226	199	283	248
HIS92_RS00885	NZ_CP051858.1	166200	167366	+	1167	275	223	349	377	379	434	120	209	228	205	285	192
HIS92_RS00890	NZ_CP051858.1	167338	168447	+	1110	278	252	311	447	382	466	178	222	263	211	316	264
HIS92_RS00895	NZ_CP051858.1	168636	169484	-	849	50	50	54	64	65	57	22	35	29	44	27	14
HIS92_RS00900	NZ_CP051858.1	170138	171595	-	1458	3490	3940	7008	5076	4787	5741	3420	6353	7378	5831	7683	6553
HIS92_RS00905	NZ_CP051858.1	171834	173051	-	1218	3	3	9	8	12	14	4	11	17	7	7	3
HIS92_RS00910	NZ_CP051858.1	173353	174732	+	1380	10	3	8	7	5	10	8	5	12	5	6	1
HIS92_RS00915	NZ_CP051858.1	174858	175379	-	522	0	0	0	1	0	0	6	7	8	0	1	4
HIS92_RS00920	NZ_CP051858.1	175493	177247	-	1755	41	46	67	56	68	80	151	112	83	75	64	39
HIS92_RS00925	NZ_CP051858.1	177591	178757	-	1167	10	10	16	9	18	12	6	22	17	17	10	5
HIS92_RS00930	NZ_CP051858.1	179010	179516	-	507	76	97	87	81	77	106	40	50	55	27	44	21
HIS92_RS00935	NZ_CP051858.1	179700	179873	-	174	8	3	4	3	3	11	6	4	7	12	6	3
HIS92_RS00940	NZ_CP051858.1	180009	180506	-	498	21	30	25	18	38	44	39	16	28	30	25	22
HIS92_RS00945	NZ_CP051858.1	180512	181005	-	494	43	32	76	55	57	74	40	31	41	47	45	30
HIS92_RS00950	NZ_CP051858.1	181489	182124	-	636	18	12	13	43	43	36	33	18	12	27	32	19
HIS92_RS00955	NZ_CP051858.1	182121	182483	-	363	20	17	12	35	36	30	38	18	11	20	32	15
HIS92_RS00960	NZ_CP051858.1	182524	182799	-	276	11	6	5	13	15	23	5	7	2	14	11	15
HIS92_RS00965	NZ_CP051858.1	183012	183305	-	294	202	126	247	160	172	181	314	246	298	155	178	123
HIS92_RS00970	NZ_CP051858.1	183352	183990	-	639	472	411	627	390	356	495	614	586	813	418	467	346
HIS92_RS00975	NZ_CP051858.1	184009	184437	-	429	200	147	281	199	162	192	334	298	321	139	195	166
HIS92_RS00980	NZ_CP051858.1	184702	186645	+	1944	210	141	198	276	233	335	123	133	143	155	187	166
HIS92_RS00985	NZ_CP051858.1	186692	187357	-	666	4	2	3	10	8	11	7	4	5	11	6	8
HIS92_RS00990	NZ_CP051858.1	187358	187825	-	468	0	0	0	1	1	2	0	0	5	1	1	0
HIS92_RS00995	NZ_CP051858.1	188019	188810	+	792	96	77	137	74	76	122	125	86	113	55	42	43
HIS92_RS01000	NZ_CP051858.1	188870	189907	-	1038	4	4	10	7	6	7	9	8	10	3	5	6
HIS92_RS01005	NZ_CP051858.1	190050	190715	-	666	0	0	0	2	5	5	1	1	0	4	1	1
HIS92_RS01010	NZ_CP051858.1	190715	191979	-	1265	3	6	1	2	1	5	4	5	5	9	2	3
HIS92_RS01015	NZ_CP051858.1	191985	193070	-	1086	1	1	1	4	0	0	2	6	0	0	0	0
HIS92_RS01020	NZ_CP051858.1	193435	194379	-	945	5	11	12	12	15	17	6	6	13	3	6	8
HIS92_RS01025	NZ_CP051858.1	194404	195294	-	891	21	9	22	16	18	30	12	11	13	15	10	21
HIS92_RS01030	NZ_CP051858.1	195343	195813	-	471	6	5	9	10	7	16	4	3	8	7	10	5
HIS92_RS01035	NZ_CP051858.1	195831	196232	-	402	1	2	3	2	0	2	3	1	0	0	4	0
HIS92_RS01040	NZ_CP051858.1	196329	196781	+	453	18	15	36	26	34	32	9	16	36	26	27	24
HIS92_RS01045	NZ_CP051858.1	196815	197726	-	912	55	20	200	23	160	64	37	16	147	25	142	46
HIS92_RS01050	NZ_CP051858.1	197851	199302	+	1452	84	62	138	63	62	57	69	59	106	60	108	44
HIS92_RS01055	NZ_CP051858.1	199373	199813	+	441	262	169	394	355	323	403	168	222	289	198	307	230
HIS92_RS01060	NZ_CP051858.1	199900	200214	-	315	4	2	2	5	0	7	2	3	6	1	3	1
HIS92_RS01065	NZ_CP051858.1	200458	201330	+	873	256	223	191	296	242	253	80	182	173	198	200	132
HIS92_RS01070	NZ_CP051858.1	201449	202273	-	825	441	343	356	367	323	399	285	336	261	289	300	205
HIS92_RS01075	NZ_CP051858.1	202397	203062	-	666	83	72	92	85	77	95	76	61	75	79	80	49
HIS92_RS01080	NZ_CP051858.1	203235	203978	-	744	87	40	87	82	87	81	86	70	85	75	51	56
HIS92_RS01085	NZ_CP051858.1	203992	204930	-	939	15	19	26	30	21	23	26	20	19	25	12	14
HIS92_RS01090	NZ_CP051858.1	204945	205742	-	798	13	14	12	8	22	18	22	8	10	20	8	6
HIS92_RS01095	NZ_CP051858.1	205841	206851	+	1011	0	1	1	1	1	3	3	4	2	1	2	3
HIS92_RS01100	NZ_CP051858.1	206891	207340	-	450	60	44	65	38	59	87	63	56	64	45	37	45
HIS92_RS01105	NZ_CP051858.1	208031	209497	+	1467	95	86	197	139	140	202	158	140	205	115	157	164
HIS92_RS01110	NZ_CP051858.1	209611	209916	+	306	69	61	77	56	54	63	86	86	107	74	68	48
HIS92_RS01115	NZ_CP051858.1	209950	210393	+	444	121	74	133	75	106	116	98	162	178	122	148	97
HIS92_RS01120	NZ_CP051858.1	211294	211482	+	189	7	3	9	9	5	5	6	4	7	0	10	10
HIS92_RS01125	NZ_CP051858.1	211578	212528	-	951	4	12	21	27	12	13	12	9	26	6	28	16
HIS92_RS01130	NZ_CP051858.1	212955	213230	+	276	74	78	77	95	87	67	28	80	79	61	78	43
HIS92_RS01135	NZ_CP051858.1	213290	213523	-	234	10	8	33	19	5	12	16	9	27	25	22	25
HIS92_RS01140	NZ_CP051858.1	213763	213996	-	234	13	22	58	14	18	20	28	9	30	33	24	51
HIS92_RS01145	NZ_CP051858.1	214293	214439	-	147	102	83	202	129	75	120	108	153	211	224	193	184
HIS92_RS01150	NZ_CP051858.1	214986	215447	-	462	403	263	627	452	352	413	433	428	491	680	518	541
HIS92_RS01155	NZ_CP051858.1	215664	216216	-	553	4	1	6	9	2	9	11	13	7	10	13	0
HIS92_RS01160	NZ_CP051858.1	216444	216671	-	228	1	2	1	1	0	0	3	2	1	2	2	2
HIS92_RS01165	NZ_CP051858.1	216984	217745	+	762	92	38	65	90	63	84	61	62	43	54	89	60
HIS92_RS01170	NZ_CP051858.1	217926	218450	-	525	14	21	18	26	40	21	10	15	33	14	27	10
HIS92_RS01175	NZ_CP051858.1	218657	219232	+	576	3	2	3	2	3	11	2	1	1	2	1	1
HIS92_RS01180	NZ_CP051858.1	219267	219788	-	522	7	9	20	15	23	15	11	6	9	13	14	10
HIS92_RS01185	NZ_CP051858.1	219871	222024	-	2154	24	35	38	33	37	41	66	38	51	28	29	20
HIS92_RS01190	NZ_CP051858.1	222348	223076	-	729	301	284	327	399	325	419	219	316	253	328	372	239
HIS92_RS01195	NZ_CP051858.1	223152	223799	-	648	2	0	0	0	6	3	3	2	1	0	0	0
HIS92_RS01200	NZ_CP051858.1	223815	224777	-	963	1	2	1	0	2	2	1	4	9	1	5	5
HIS92_RS01205	NZ_CP051858.1	224779	225474	-	696	0	1	0	2	0	2	7	1	9	1	7	1
HIS92_RS01210	NZ_CP051858.1	225496	226257	-	762	0	0	2	0	2	5	5	4	2	1	3	3
HIS92_RS01215	NZ_CP051858.1	226276	227265	-	990	0	1	3	10	9	8	14	7	15	15	14	13
HIS92_RS01220	NZ_CP051858.1	227256	227969	-	714	2	3	5	11	17	12	15	12	20	17	7	5
HIS92_RS01225	NZ_CP051858.1	227984	228736	-	753	10	14	6	18	22	27	18	15	12	26	18	11
